virtual_input_index,tx_index,tx_name,rx_index,rx_name,row,column,azimuth_spacing_lambda,elevation_spacing_lambda,source,sdk_semantics
0,0,TX1,0,RX1,1,0,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
1,0,TX1,1,RX2,1,1,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
2,0,TX1,2,RX3,1,2,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
3,0,TX1,3,RX4,1,3,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
4,1,TX2,0,RX1,0,2,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
5,1,TX2,1,RX2,0,3,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
6,1,TX2,2,RX3,0,4,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
7,1,TX2,3,RX4,0,5,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
8,2,TX3,0,RX1,1,4,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
9,2,TX3,1,RX2,1,5,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
10,2,TX3,2,RX3,1,6,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
11,2,TX3,3,RX4,1,7,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
12,3,TX4,0,RX1,1,8,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
13,3,TX4,1,RX2,1,9,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
14,3,TX4,2,RX3,1,10,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
15,3,TX4,3,RX4,1,11,0.5,0.8,D:\hp-laptop\USV\awr2944_sea_clutter_v02\Config\profile_3d_3Azim_1ElevTx_awr2944P.cfg,"Tx0Rx0,Tx0Rx1,...,Tx3Rx3; row/elevation then column/azimuth"
