source_file,frame_num,packet_length,declared_detected_count,tlv_count,tlv_types,decoded_point_count
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,4,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,5,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,6,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,7,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,8,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,9,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,10,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,11,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,12,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,13,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,14,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,15,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,16,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,17,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,18,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,19,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,20,352,10,4,"[1, 7, 6, 9]",10
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,21,352,10,4,"[1, 7, 6, 9]",10
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,22,352,10,4,"[1, 7, 6, 9]",10
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,23,352,10,4,"[1, 7, 6, 9]",10
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,24,352,10,4,"[1, 7, 6, 9]",10
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,25,416,14,4,"[1, 7, 6, 9]",14
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,26,448,16,4,"[1, 7, 6, 9]",16
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,27,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,28,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,29,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,30,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,31,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,32,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,33,384,12,4,"[1, 7, 6, 9]",12
D:\hp-laptop\USV\awr2944_config_and_process_with_trace\record\record_01.bin,34,384,12,4,"[1, 7, 6, 9]",12
