frame_num,reference_point_count,decoded_point_count,count_match,coordinate_rmse
4,12,12,True,1.2577268115443478
5,12,12,True,1.153032790741228
6,10,12,False,
7,10,12,False,
8,10,12,False,
9,10,12,False,
10,10,12,False,
11,10,12,False,
12,10,12,False,
13,10,12,False,
14,10,12,False,
15,10,12,False,
16,10,12,False,
17,10,12,False,
18,10,12,False,
19,10,12,False,
20,10,10,True,0.19156532906494422
21,10,10,True,0.0705987879331953
22,10,10,True,0.07414938838816945
23,10,10,True,0.0705987879331953
24,10,10,True,0.36791698131529915
25,12,14,False,
26,12,16,False,
27,12,12,True,1.1903560347887938
28,12,12,True,1.2041745499511485
29,12,12,True,1.2416814391449744
30,12,12,True,1.1945636842059766
31,12,12,True,1.1508667016375538
32,12,12,True,1.2528258044448983
33,12,12,True,1.2764462932781133
34,12,12,True,1.1675331180628916
35,12,12,True,1.1845059310037223
36,12,12,True,1.1491339693536644
37,10,12,False,
38,10,12,False,
39,10,12,False,
40,10,12,False,
41,10,12,False,
42,10,12,False,
43,10,12,False,
44,10,10,True,0.4093714682911142
45,10,10,True,0.37398228607654177
46,10,10,True,0.031718446124528836
47,10,10,True,0.3686253128394124
48,10,10,True,0.37358376618397365
49,10,10,True,0.3740296117215298
50,10,10,True,0.36765185365989683
51,10,10,True,0.06714748463876628
52,10,10,True,0.0705987879331953
53,10,10,True,0.04643988712357595
54,12,10,False,
55,12,10,False,
56,10,10,True,0.07151959027683284
57,10,10,True,0.047795089434676655
58,10,10,True,0.3873305370030169
59,10,10,True,0.06783147390896595
60,10,10,True,0.07159014749370449
61,10,10,True,0.07414938838816945
62,10,10,True,0.17466988821925114
63,10,10,True,0.1884496233089863
64,10,10,True,0.3729427403248663
65,10,10,True,0.03175506360046809
66,10,10,True,0.07414938838816945
67,10,10,True,0.004000679706187876
68,10,10,True,0.3819925093060715
69,10,10,True,0.022236032100319904
70,10,12,False,
71,10,12,False,
72,10,12,False,
73,10,12,False,
74,10,12,False,
75,10,12,False,
76,10,12,False,
77,12,12,True,1.2497792987207454
78,12,12,True,1.2817823193878044
79,14,12,False,
80,16,10,False,
81,16,10,False,
82,16,10,False,
83,18,10,False,
84,18,10,False,
85,12,10,False,
86,16,12,False,
87,16,12,False,
88,18,12,False,
89,16,12,False,
90,20,12,False,
91,18,12,False,
92,14,12,False,
93,14,12,False,
94,16,12,False,
95,16,12,False,
96,16,12,False,
97,12,12,True,1.760137384129404
98,12,12,True,1.7753649633887818
99,12,12,True,2.5137290910740253
100,18,12,False,
101,14,12,False,
102,16,12,False,
103,12,12,True,2.409055515693038
104,12,12,True,1.7219021855565335
105,14,12,False,
106,14,12,False,
107,14,12,False,
108,10,12,False,
109,12,14,False,
110,12,16,False,
111,12,18,False,
112,17,14,False,
113,18,16,False,
114,14,14,True,1.8522613098982146
115,18,12,False,
116,16,14,False,
117,12,16,False,
118,10,14,False,
119,10,14,False,
120,10,12,False,
121,12,12,True,0.46115157043281035
122,12,10,False,
123,12,10,False,
124,12,12,True,0.41470396033303547
125,12,10,False,
126,12,10,False,
127,14,10,False,
128,16,10,False,
129,14,10,False,
130,16,12,False,
131,14,10,False,
132,10,14,False,
133,12,12,True,1.654688022796373
134,12,12,True,0.544236750380556
135,14,12,False,
136,16,16,True,1.833675692946271
137,14,18,False,
138,16,16,True,1.9535680296931845
139,14,14,True,1.7964293881412798
140,14,22,False,
141,14,20,False,
142,14,18,False,
143,18,22,False,
144,18,12,False,
145,14,15,False,
146,16,18,False,
147,16,18,False,
148,12,18,False,
149,20,18,False,
150,20,16,False,
151,18,18,True,1.9178988837354267
152,18,18,True,1.5895940956292904
153,18,22,False,
154,16,20,False,
155,18,16,False,
156,18,16,False,
157,20,16,False,
158,26,22,False,
159,18,16,False,
160,20,18,False,
161,22,22,True,2.432135868608171
162,26,16,False,
163,24,16,False,
164,22,14,False,
165,20,10,False,
166,18,12,False,
167,22,16,False,
168,20,14,False,
169,16,16,True,1.9808424242119735
170,18,14,False,
171,16,14,False,
172,12,14,False,
173,26,16,False,
174,20,12,False,
175,16,14,False,
176,18,16,False,
177,18,12,False,
178,24,10,False,
179,28,10,False,
180,22,12,False,
181,24,14,False,
182,14,10,False,
183,12,12,True,1.90493223742728
184,22,14,False,
185,26,14,False,
186,14,14,True,1.528579900103699
187,18,12,False,
188,16,14,False,
189,18,10,False,
190,16,14,False,
191,16,12,False,
192,16,12,False,
193,14,12,False,
194,18,12,False,
195,14,12,False,
196,14,12,False,
197,12,10,False,
198,18,12,False,
199,8,12,False,
200,16,12,False,
201,20,12,False,
202,16,10,False,
203,14,12,False,
204,10,12,False,
205,12,12,True,0.004523157312135478
206,14,14,True,1.3958980363568834
207,14,14,True,1.6901883426873645
208,16,10,False,
209,20,18,False,
210,16,10,False,
211,14,12,False,
212,14,12,False,
213,20,8,False,
214,16,12,False,
215,18,12,False,
216,16,12,False,
217,20,20,True,2.0459902898353675
218,16,14,False,
219,16,14,False,
220,18,14,False,
221,16,14,False,
222,18,20,False,
223,22,18,False,
224,18,20,False,
225,20,26,False,
226,22,22,True,1.8050809391119222
227,20,24,False,
228,18,22,False,
229,18,22,False,
230,26,18,False,
231,24,22,False,
232,14,22,False,
233,12,16,False,
234,10,16,False,
235,12,24,False,
236,18,16,False,
237,22,18,False,
238,16,22,False,
239,18,14,False,
240,22,20,False,
241,22,18,False,
242,18,16,False,
243,20,14,False,
244,26,18,False,
245,24,10,False,
246,28,14,False,
247,18,16,False,
248,16,10,False,
249,20,12,False,
250,16,12,False,
251,20,12,False,
252,20,12,False,
253,20,12,False,
254,20,14,False,
255,20,12,False,
256,16,10,False,
257,20,10,False,
258,14,12,False,
259,22,10,False,
260,14,12,False,
261,14,8,False,
262,18,8,False,
263,18,8,False,
264,14,10,False,
265,24,12,False,
266,16,12,False,
267,12,12,True,1.3395663595255518
268,12,10,False,
269,12,10,False,
270,12,10,False,
271,14,8,False,
272,16,12,False,
273,16,10,False,
274,20,12,False,
275,16,12,False,
276,16,10,False,
277,20,8,False,
278,20,10,False,
279,18,12,False,
280,16,12,False,
281,18,12,False,
282,20,10,False,
283,26,14,False,
284,14,16,False,
285,22,16,False,
286,24,18,False,
287,12,12,True,2.171726825505314
288,18,10,False,
289,16,16,True,2.064448940031286
290,18,14,False,
291,14,10,False,
292,12,10,False,
293,14,10,False,
294,12,12,True,2.465193826559907
295,18,10,False,
296,18,12,False,
297,16,8,False,
298,16,10,False,
299,14,12,False,
300,12,12,True,2.1215883587906865
301,12,10,False,
302,12,10,False,
303,12,12,True,2.276591625550061
