component,cx_mil,cy_mil,end_deg,kind,layer,net,net_id,pad,radius_mil,start_deg,width_mil,x1_mil,x2_mil,y1_mil,y2_mil
727,,,,Pad,TOP,TX1,110,B3,,,,5778.4656,,4565.6692,
727,,,,Pad,TOP,TX2,109,B5,,,,5778.4656,,4514.4881,
727,,,,Pad,TOP,TX3,108,B7,,,,5778.4656,,4463.307,
727,,,,Pad,TOP,TX4,107,B9,,,,5778.4656,,4412.1259,
727,,,,Pad,TOP,RX4,117,F2,,,,5676.1034,,4591.2597,
727,,,,Pad,TOP,RX3,118,H2,,,,5624.9223,,4591.2597,
727,,,,Pad,TOP,RX2,119,K2,,,,5573.7412,,4591.2597,
727,,,,Pad,TOP,RX1,120,M2,,,,5522.5601,,4591.2597,
,,,,Track,TOP,RX1,120,,,,8.4,5499.0758,5514.5774,4711.0656,4695.564
,,,,Track,TOP,RX4,117,,,,8.4,5699.5877,5699.5879,4711.0656,4711.0658
,,,,Track,TOP,TX4,107,,,,8.4,5778.4656,6383.3379,4412.1259,4412.1259
,,,,Track,TOP,TX3,108,,,,8.4,5778.4656,6378.6283,4463.307,4463.307
,,,,Track,TOP,TX2,109,,,,8.4,5778.4656,6269.2931,4514.4881,4514.4881
,,,,Track,TOP,TX1,110,,,,8.4,6185.5361,6266.6608,4749.5523,4749.5523
,,,,Track,TOP,TX1,110,,,,8.4,6053.1245,6103.1245,4669.0156,4669.0156
,,,,Track,TOP,TX1,110,,,,8.4,6129.4709,6129.4709,4604.1991,4642.6692
,,,,Track,TOP,TX1,110,,,,8.4,6296.8369,6296.8369,4589.8407,4719.3762
,,,,Track,TOP,TX1,110,,,,8.4,6167.6697,6272.9965,4566.0003,4566.0003
,,,,Track,TOP,TX1,110,,,,8.4,6025.7941,6025.7941,4595.496,4641.6852
,,,,Track,TOP,TX1,110,,,,8.4,5778.4656,5995.9673,4565.6692,4565.6692
,,,,Track,TOP,TX2,109,,,,8.4,6132.7031,6132.7031,4917.5612,5080.0625
,,,,Track,TOP,TX2,109,,,,8.4,6232.7031,6282.4205,4817.5612,4817.5612
,,,,Track,TOP,TX2,109,,,,8.4,6369.0117,6369.0117,4614.2067,4730.97
,,,,Track,TOP,TX3,108,,,,8.4,6350.229,6401.7622,4874.7333,4874.7333
,,,,Track,TOP,TX3,108,,,,8.4,6467.8622,6467.8622,4552.5409,4808.6333
,,,,Track,TOP,TX3,108,,,,8.4,6286.9944,6286.9944,4937.9679,4956.6373
,,,,Track,TOP,TX4,107,,,,8.4,6595.5377,6595.5377,4624.3257,4956.6373
,,,,Track,TOP,RX3,118,,,,8.4,5624.9223,5624.9223,4591.2597,4663.8231
,,,,Track,TOP,RX3,118,,,,8.4,5636.7333,5636.7333,4858.8225,4948.7637
,,,,Track,TOP,RX3,118,,,,8.4,5653.9971,5653.9971,4734.0156,4817.1444
,,,,Track,TOP,RX4,117,,,,8.4,5711.5365,5711.5365,4739.9116,4948.7637
,,,,Track,TOP,RX4,117,,,,8.4,5676.1034,5676.1034,4591.2597,4676.2923
,,,,Track,TOP,RX4,117,,,,8.4,5684.0861,5699.5877,4695.564,4711.0656
,,,,Track,TOP,RX1,120,,,,8.4,5499.0756,5499.0758,4711.0658,4711.0656
,,,,Track,TOP,RX2,119,,,,8.4,5544.6664,5544.6664,4734.0156,4817.1444
,,,,Track,TOP,RX2,119,,,,8.4,5561.9302,5561.9302,4858.8225,4948.7637
,,,,Track,TOP,RX2,119,,,,8.4,5573.7412,5573.7412,4591.2597,4663.8231
,,,,Track,TOP,RX1,120,,,,8.4,5522.5601,5522.5601,4591.2597,4676.2923
,,,,Track,TOP,RX1,120,,,,8.4,5487.127,5487.127,4739.9116,4948.7637
,6185.5361,4956.6373,270.0,Arc,TOP,TX1,110,,207.085,180.0,8.4,,,,
,6103.1245,4642.6692,90.0,Arc,TOP,TX1,110,,26.3464,0.0,8.4,,,,
,6053.1245,4641.6852,180.0,Arc,TOP,TX1,110,,27.3304,90.0,8.4,,,,
,6167.6697,4604.1991,270.0,Arc,TOP,TX1,110,,38.1988,180.0,8.4,,,,
,6272.9965,4589.8407,360.0,Arc,TOP,TX1,110,,23.8404,270.0,8.4,,,,
,5995.9673,4595.496,360.0,Arc,TOP,TX1,110,,29.8268,270.0,8.4,,,,
,6266.6608,4719.3762,90.0,Arc,TOP,TX1,110,,30.1761,0.0,8.4,,,,
,6232.7031,4917.5612,270.0,Arc,TOP,TX2,109,,100.0,180.0,8.4,,,,
,6282.4205,4730.97,90.0,Arc,TOP,TX2,109,,86.5912,0.0,8.4,,,,
,6269.2931,4614.2067,360.0,Arc,TOP,TX2,109,,99.7186,270.0,8.4,,,,
,6350.229,4937.9679,270.0,Arc,TOP,TX3,108,,63.2346,180.0,8.4,,,,
,6401.7622,4808.6333,90.0,Arc,TOP,TX3,108,,66.1,0.0,8.4,,,,
,6378.6283,4552.5409,360.0,Arc,TOP,TX3,108,,89.2339,270.0,8.4,,,,
,6383.3379,4624.3257,360.0,Arc,TOP,TX4,107,,212.1998,270.0,8.4,,,,
,5662.2214,4858.8225,225.0,Arc,TOP,RX3,118,,25.488,180.0,8.4,,,,
,5622.1712,4734.0156,360.0,Arc,TOP,RX3,118,,31.8259,315.0,8.4,,,,
,5692.3639,4663.8231,180.0,Arc,TOP,RX3,118,,67.4416,135.0,8.4,,,,
,5620.5436,4817.1444,45.0,Arc,TOP,RX3,118,,33.4535,0.0,8.4,,,,
,5670.7418,4739.9116,360.0,Arc,TOP,RX4,117,,40.7944,315.0,8.4,,,,
,5703.3578,4676.2923,180.0,Arc,TOP,RX4,117,,27.2544,135.0,8.4,,,,
,5578.1199,4817.1444,180.0,Arc,TOP,RX2,119,,33.4535,135.0,8.4,,,,
,5506.2996,4663.8231,45.0,Arc,TOP,RX2,119,,67.4416,0.0,8.4,,,,
,5576.4923,4734.0156,225.0,Arc,TOP,RX2,119,,31.8259,180.0,8.4,,,,
,5536.4421,4858.8225,360.0,Arc,TOP,RX2,119,,25.488,315.0,8.4,,,,
,5495.3057,4676.2923,45.0,Arc,TOP,RX1,120,,27.2544,0.0,8.4,,,,
,5527.9217,4739.9116,225.0,Arc,TOP,RX1,120,,40.7944,180.0,8.4,,,,
