net,rank,x_mil,y_mil,x_mm,y_mm,distance_from_chip_pad_mil,topology_degree,phase_center
RX1,1,5487.127,4948.7637,139.3730258,125.69859798,359.2556396100283,1,False
RX1,2,5522.5601,4591.2597,140.27302654,116.61799637999998,0.0,1,False
RX2,1,5561.9302,4948.7637,141.27302708,125.69859798,357.6990491139173,1,False
RX2,2,5573.7412,4591.2597,141.57302648,116.61799637999998,0.0,1,False
RX3,1,5636.7333,4948.7637,143.17302582,125.69859798,357.6990491139172,1,False
RX3,2,5624.9223,4591.2597,142.87302642,116.61799637999998,0.0,1,False
RX4,1,5711.5365,4948.7637,145.0730271,125.69859798,359.25563961002837,1,False
RX4,2,5676.1034,4591.2597,144.17302636,116.61799637999998,0.0,1,False
TX1,1,5978.4511,4956.6373,151.85265794,125.89858742,439.1471910736307,1,False
TX1,2,5778.4656,4565.6692,146.77302624,115.96799768,0.0,1,False
TX2,1,6132.7031,5080.0625,155.77065874,129.03358749999998,667.351937392565,1,False
TX2,2,5778.4656,4514.4881,146.77302624,114.66799773999999,0.0,1,False
TX3,1,6286.9944,4956.6373,159.68965776,125.89858742,708.5028760192365,1,False
TX3,2,5778.4656,4463.307,146.77302624,113.36799779999998,0.0,1,False
TX4,1,6595.5377,4956.6373,167.52665757999998,125.89858742,981.885676302679,1,False
TX4,2,5778.4656,4412.1259,146.77302624,112.06799785999999,0.0,1,False
