model,rx_index,tx_index,x_m,y_m,x_lambda,y_lambda
ideal_half_lambda,0,0,0.0,0.0,0.0,0.0
ideal_half_lambda,0,1,0.0019467042727272727,0.0,0.5,0.0
ideal_half_lambda,0,2,0.0038934085454545454,0.0,1.0,0.0
ideal_half_lambda,0,3,0.005840112818181818,0.0,1.5,0.0
ideal_half_lambda,1,0,0.0,0.0019467042727272727,0.0,0.5
ideal_half_lambda,1,1,0.0019467042727272727,0.0019467042727272727,0.5,0.5
ideal_half_lambda,1,2,0.0038934085454545454,0.0019467042727272727,1.0,0.5
ideal_half_lambda,1,3,0.005840112818181818,0.0019467042727272727,1.5,0.5
ideal_half_lambda,2,0,0.0,0.0038934085454545454,0.0,1.0
ideal_half_lambda,2,1,0.0019467042727272727,0.0038934085454545454,0.5,1.0
ideal_half_lambda,2,2,0.0038934085454545454,0.0038934085454545454,1.0,1.0
ideal_half_lambda,2,3,0.005840112818181818,0.0038934085454545454,1.5,1.0
ideal_half_lambda,3,0,0.0,0.005840112818181818,0.0,1.5
ideal_half_lambda,3,1,0.0019467042727272727,0.005840112818181818,0.5,1.5
ideal_half_lambda,3,2,0.0038934085454545454,0.005840112818181818,1.0,1.5
ideal_half_lambda,3,3,0.005840112818181818,0.005840112818181818,1.5,1.5
provisional_pcb_endpoint,0,0,0.007429629540000008,0.028111190920000008,1.9082583944790255,7.220200652412679
provisional_pcb_endpoint,0,1,0.011347630339999994,0.031246191,2.9145747761940015,8.025407720563804
provisional_pcb_endpoint,0,2,0.01526662935999999,0.028111190920000008,3.9211475450793336,7.220200652412679
provisional_pcb_endpoint,0,3,0.023103629179999998,0.028111190920000008,5.934036695679649,7.220200652412679
provisional_pcb_endpoint,1,0,0.009329630819999993,0.028111190920000008,2.3962629945146903,7.220200652412679
provisional_pcb_endpoint,1,1,0.01324763161999998,0.031246191,3.4025793762296663,8.025407720563804
provisional_pcb_endpoint,1,2,0.017166630639999975,0.028111190920000008,4.409152145114999,7.220200652412679
provisional_pcb_endpoint,1,3,0.02500363045999998,0.028111190920000008,6.422041295715313,7.220200652412679
provisional_pcb_endpoint,2,0,0.011229629559999996,0.028111190920000008,2.884266942165702,7.220200652412679
provisional_pcb_endpoint,2,1,0.015147630359999982,0.031246191,3.890583323880678,8.025407720563804
provisional_pcb_endpoint,2,2,0.019066629379999978,0.028111190920000008,4.897156092766011,7.220200652412679
provisional_pcb_endpoint,2,3,0.026903629199999984,0.028111190920000008,6.9100452433663255,7.220200652412679
provisional_pcb_endpoint,3,0,0.013129630840000003,0.028111190920000008,3.3722715422013727,7.220200652412679
provisional_pcb_endpoint,3,1,0.017047631639999988,0.031246191,4.378587923916348,8.025407720563804
provisional_pcb_endpoint,3,2,0.020966630659999985,0.028111190920000008,5.385160692801681,7.220200652412679
provisional_pcb_endpoint,3,3,0.02880363047999999,0.028111190920000008,7.398049843401996,7.220200652412679
