actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,azimuth_error_deg,elevation_error_deg
ideal_half_lambda,ideal_half_lambda,-60.0,-20.0,-60.0,-20.0,1.0000000000000004,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-40.0,-20.0,-40.0,-20.0,0.9999999999999996,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-20.0,-20.0,-20.0,-20.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,0.0,-20.0,0.0,-20.0,0.9999999999999996,0.0,0.0
ideal_half_lambda,ideal_half_lambda,20.0,-20.0,20.0,-20.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,40.0,-20.0,40.0,-20.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,60.0,-20.0,60.0,-20.0,1.0000000000000004,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-60.0,-10.0,-60.0,-10.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-40.0,-10.0,-40.0,-10.0,1.0000000000000004,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-20.0,-10.0,-20.0,-10.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,0.0,-10.0,0.0,-10.0,0.9999999999999998,0.0,0.0
ideal_half_lambda,ideal_half_lambda,20.0,-10.0,20.0,-10.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,40.0,-10.0,40.0,-10.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,60.0,-10.0,60.0,-10.0,0.9999999999999996,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-60.0,0.0,-60.0,0.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-40.0,0.0,-40.0,0.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-20.0,0.0,-20.0,0.0,0.9999999999999996,0.0,0.0
ideal_half_lambda,ideal_half_lambda,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,20.0,0.0,20.0,0.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,40.0,0.0,40.0,0.0,0.9999999999999998,0.0,0.0
ideal_half_lambda,ideal_half_lambda,60.0,0.0,60.0,0.0,0.9999999999999996,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-60.0,10.0,-60.0,10.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-40.0,10.0,-40.0,10.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,-20.0,10.0,-20.0,10.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,0.0,10.0,0.0,10.0,1.0,0.0,0.0
ideal_half_lambda,ideal_half_lambda,20.0,10.0,20.0,10.0,1.0,0.0,0.0
