case_id,frame,azimuth_difference_deg,elevation_difference_deg,ideal_score,provisional_score
ss0_flat,0,13.0,1.0,0.48079196319100326,0.26620909803196163
ss0_flat,1,20.0,-7.0,0.6022885866961057,0.37562237322108005
ss0_flat,2,-71.0,1.0,0.4275813452133855,0.25130165035009827
ss0_flat,3,12.0,-4.0,0.49990817549718825,0.3901217500275259
ss0_flat,4,13.0,-6.0,0.6823238093487044,0.6299627309962139
ss0_flat,5,0.0,0.0,0.6677954208470833,0.22514726393240386
ss0_flat,6,1.0,-6.0,0.4418733989855569,0.5838124136949157
ss0_flat,7,12.0,-9.0,0.7828555371094844,0.8342331649396548
ss0_flat,8,13.0,1.0,0.681672071962493,0.41279594168270334
ss0_flat,9,79.0,-6.0,0.39107841571445073,0.2532284987289747
ss0_flat,10,10.0,-7.0,0.5632245876426344,0.8669028056017254
ss0_flat,11,120.0,-1.0,0.5202245797090698,0.21908890127722488
ss0_flat,12,0.0,-2.0,0.558470149376931,0.2931511024967322
ss0_flat,13,3.0,0.0,0.5322636577272332,0.4963882229227501
ss0_flat,14,-9.0,2.0,0.46862663371867586,0.4678711898338153
ss0_flat,15,-29.0,1.0,0.5146632908238692,0.3106229101924093
ss0_flat,16,-30.0,1.0,0.44038279269591457,0.5183349352529311
ss0_flat,17,-110.0,2.0,0.38974482157621987,0.37299650416061225
ss0_flat,18,-2.0,-2.0,0.6065878666211291,0.3609155834977028
ss0_flat,19,6.0,2.0,0.5069211624439917,0.30065396795307037
ss0_flat,20,86.0,-2.0,0.369710847680933,0.4057330207424194
ss0_flat,21,31.0,2.0,0.39296462630669365,0.22802951250192702
ss0_flat,22,0.0,0.0,0.6154786720770545,0.3860557384588616
ss0_flat,23,6.0,2.0,0.42971059188563676,0.3549892721905268
ss0_flat,24,6.0,-4.0,0.6963641029476815,0.8911726970103115
ss0_flat,25,2.0,-1.0,0.4472359700764385,0.4051361735115836
ss0_flat,26,4.0,7.0,0.39893537851634975,0.24038419275876358
ss0_flat,27,0.0,4.0,0.6110194593982998,0.22111807449741497
ss0_flat,28,10.0,-1.0,0.4509910270528224,0.7027997429732395
ss0_flat,29,0.0,-3.0,0.5855481531638488,0.4822658823041826
ss0_flat,30,-25.0,-6.0,0.37260534675240586,0.4512257068268603
ss0_flat,31,-19.0,-5.0,0.4517348180076199,0.24180952998301694
