case_id,frame,time_s,model,facet_count,dominant_azimuth_deg,dominant_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_to_dominant_deg,elevation_error_to_dominant_deg,score
ss0_flat,0,0.0,ideal_half_lambda,32,-60.94539590092286,-2.780344598212757,26.0,-3.0,86.94539590092286,-0.21965540178724297,0.48079196319100326
ss0_flat,0,0.0,provisional_pcb_endpoint,32,-60.94539590092286,-2.780344598212757,39.0,-2.0,99.94539590092286,0.780344598212757,0.26620909803196163
ss0_flat,1,0.5,ideal_half_lambda,32,-45.0,-4.044691235386268,-60.0,-2.0,-15.0,2.044691235386268,0.6022885866961057
ss0_flat,1,0.5,provisional_pcb_endpoint,32,-45.0,-4.044691235386268,-40.0,-9.0,5.0,-4.955308764613732,0.37562237322108005
ss0_flat,2,1.0,ideal_half_lambda,32,71.56505117707799,-8.984876931685683,60.0,-6.0,-11.56505117707799,2.984876931685683,0.4275813452133855
ss0_flat,2,1.0,provisional_pcb_endpoint,32,71.56505117707799,-8.984876931685683,-11.0,-5.0,-82.56505117707799,3.984876931685683,0.25130165035009827
ss0_flat,3,1.5,ideal_half_lambda,32,65.55604521958347,-2.369564351808628,-60.0,-1.0,-125.55604521958347,1.369564351808628,0.49990817549718825
ss0_flat,3,1.5,provisional_pcb_endpoint,32,65.55604521958347,-2.369564351808628,-48.0,-5.0,-113.55604521958347,-2.630435648191372,0.3901217500275259
ss0_flat,4,2.0,ideal_half_lambda,32,-45.0,-19.47122063449069,-58.0,-14.0,-13.0,5.471220634490692,0.6823238093487044
ss0_flat,4,2.0,provisional_pcb_endpoint,32,-45.0,-19.47122063449069,-45.0,-20.0,0.0,-0.5287793655093083,0.6299627309962139
ss0_flat,5,2.5,ideal_half_lambda,32,71.56505117707799,-8.984876931685683,60.0,-5.0,-11.56505117707799,3.984876931685683,0.6677954208470833
ss0_flat,5,2.5,provisional_pcb_endpoint,32,71.56505117707799,-8.984876931685683,60.0,-5.0,-11.56505117707799,3.984876931685683,0.22514726393240386
ss0_flat,6,3.0,ideal_half_lambda,32,-11.309932474020213,-5.600409184816617,-13.0,-3.0,-1.6900675259797868,2.600409184816617,0.4418733989855569
ss0_flat,6,3.0,provisional_pcb_endpoint,32,-11.309932474020213,-5.600409184816617,-12.0,-9.0,-0.6900675259797868,-3.399590815183383,0.5838124136949157
ss0_flat,7,3.5,ideal_half_lambda,32,-45.0,-19.47122063449069,-56.0,-11.0,-11.0,8.471220634490692,0.7828555371094844
ss0_flat,7,3.5,provisional_pcb_endpoint,32,-45.0,-19.47122063449069,-44.0,-20.0,1.0,-0.5287793655093083,0.8342331649396548
ss0_flat,8,4.0,ideal_half_lambda,32,-45.0,-4.044691235386268,-60.0,-3.0,-15.0,1.044691235386268,0.681672071962493
ss0_flat,8,4.0,provisional_pcb_endpoint,32,-45.0,-4.044691235386268,-47.0,-2.0,-2.0,2.044691235386268,0.41279594168270334
ss0_flat,9,4.5,ideal_half_lambda,32,71.56505117707799,-8.984876931685683,-19.0,-2.0,-90.56505117707799,6.984876931685683,0.39107841571445073
ss0_flat,9,4.5,provisional_pcb_endpoint,32,71.56505117707799,-8.984876931685683,60.0,-8.0,-11.56505117707799,0.9848769316856831,0.2532284987289747
ss0_flat,10,5.0,ideal_half_lambda,32,-45.0,-19.47122063449069,-55.0,-13.0,-10.0,6.471220634490692,0.5632245876426344
ss0_flat,10,5.0,provisional_pcb_endpoint,32,-45.0,-19.47122063449069,-45.0,-20.0,0.0,-0.5287793655093083,0.8669028056017254
ss0_flat,11,5.5,ideal_half_lambda,32,71.56505117707799,-8.984876931685683,-60.0,-4.0,-131.56505117707798,4.984876931685683,0.5202245797090698
ss0_flat,11,5.5,provisional_pcb_endpoint,32,71.56505117707799,-8.984876931685683,60.0,-5.0,-11.56505117707799,3.984876931685683,0.21908890127722488
ss0_flat,12,6.0,ideal_half_lambda,32,71.56505117707799,-8.984876931685683,60.0,-5.0,-11.56505117707799,3.984876931685683,0.558470149376931
