case_id,manifest,raw_iq,cfg,cfg_hash_match,geometry_match,basic_complete,ready_for_v0112,missing_or_invalid
ka001_az-30_el-10_r10,True,False,True,True,True,False,False,raw_iq
ka002_az-15_el-10_r10,True,False,True,True,True,False,False,raw_iq
ka003_az+00_el-10_r10,True,False,True,True,True,False,False,raw_iq
ka004_az+15_el-10_r10,True,False,True,True,True,False,False,raw_iq
ka005_az+30_el-10_r10,True,False,True,True,True,False,False,raw_iq
ka006_az-30_el+00_r10,True,False,True,True,True,False,False,raw_iq
ka007_az-15_el+00_r10,True,False,True,True,True,False,False,raw_iq
ka008_az+00_el+00_r10,True,False,True,True,True,False,False,raw_iq
ka009_az+15_el+00_r10,True,False,True,True,True,False,False,raw_iq
ka010_az+30_el+00_r10,True,False,True,True,True,False,False,raw_iq
ka011_az-30_el+10_r10,True,False,True,True,True,False,False,raw_iq
ka012_az-15_el+10_r10,True,False,True,True,True,False,False,raw_iq
ka013_az+00_el+10_r10,True,False,True,True,True,False,False,raw_iq
ka014_az+15_el+10_r10,True,False,True,True,True,False,False,raw_iq
ka015_az+30_el+10_r10,True,False,True,True,True,False,False,raw_iq
ka016_az-30_el-10_r20,True,False,True,True,True,False,False,raw_iq
ka017_az-15_el-10_r20,True,False,True,True,True,False,False,raw_iq
ka018_az+00_el-10_r20,True,False,True,True,True,False,False,raw_iq
ka019_az+15_el-10_r20,True,False,True,True,True,False,False,raw_iq
ka020_az+30_el-10_r20,True,False,True,True,True,False,False,raw_iq
ka021_az-30_el+00_r20,True,False,True,True,True,False,False,raw_iq
ka022_az-15_el+00_r20,True,False,True,True,True,False,False,raw_iq
ka023_az+00_el+00_r20,True,False,True,True,True,False,False,raw_iq
ka024_az+15_el+00_r20,True,False,True,True,True,False,False,raw_iq
ka025_az+30_el+00_r20,True,False,True,True,True,False,False,raw_iq
ka026_az-30_el+10_r20,True,False,True,True,True,False,False,raw_iq
ka027_az-15_el+10_r20,True,False,True,True,True,False,False,raw_iq
ka028_az+00_el+10_r20,True,False,True,True,True,False,False,raw_iq
ka029_az+15_el+10_r20,True,False,True,True,True,False,False,raw_iq
ka030_az+30_el+10_r20,True,False,True,True,True,False,False,raw_iq
