case_id,frame,time_s,x_m,y_m,z_m,slant_range_m,azimuth_deg,elevation_deg,mask_3db,mask_6db
ss0_flat,20,10.0,-50.0,2.0,0.0,50.049975024968795,-87.70938995736148,1.1448475701318996,0,0
ss0_flat,20,10.0,-49.0,2.0,0.0,49.05099387372289,-87.66269414087618,1.1681669357057396,0,0
ss0_flat,20,10.0,-48.0,2.0,0.0,48.05205510693585,-87.61405596961119,1.1924550547680297,0,0
ss0_flat,20,10.0,-47.0,2.0,0.0,47.05316142407437,-87.56335175318986,1.2177735097464688,0,0
ss0_flat,20,10.0,-46.0,2.0,0.0,46.05431575867782,-87.51044707800085,1.244189209764676,0,0
ss0_flat,20,10.0,-45.0,2.0,0.0,45.055521304275246,-87.4551956201869,1.2717749786132624,0,0
ss0_flat,20,10.0,-44.0,2.0,0.0,44.05678154382137,-87.39743779750019,1.3006102222626914,0,0
ss0_flat,20,10.0,-43.0,2.0,0.0,43.05810028322197,-87.33699923393286,1.3307816887447748,0,0
ss0_flat,20,10.0,-42.0,2.0,0.0,42.05948168962618,-87.27368900609373,1.3623843356459904,0,0
ss0_flat,20,10.0,-41.0,2.0,0.0,41.06093033529562,-87.20729763428672,1.3955223233958174,0,0
ss0_flat,20,10.0,-40.0,2.0,0.0,40.06245124802026,-87.13759477388825,1.4303101561259743,0,0
ss0_flat,20,10.0,-39.0,2.0,0.0,39.06404996924922,-87.06432655357884,1.466873996286614,0,0
ss0_flat,20,10.0,-38.0,2.0,0.0,38.06573262134856,-86.98721249581666,1.5053531846448098,0,0
ss0_flat,20,10.0,-37.0,2.0,0.0,37.067505985701274,-86.9059419410829,1.5459020040325429,0,0
ss0_flat,20,10.0,-36.0,2.0,0.0,36.069377593742864,-86.82016988013577,1.5886917336111674,0,0
ss0_flat,20,10.0,-35.0,2.0,0.0,35.07135583350036,-86.72951207681645,1.6339130509417998,0,0
ss0_flat,20,10.0,-34.0,2.0,0.0,34.07345007480164,-86.63353933657021,1.6817788524081014,0,0
ss0_flat,20,10.0,-33.0,2.0,0.0,33.07567081708246,-86.53177074108285,1.7325275793406385,0,0
ss0_flat,20,10.0,-32.0,2.0,0.0,32.07802986469088,-86.42366562500266,1.786427158623654,0,0
ss0_flat,20,10.0,-31.0,2.0,0.0,31.080540535840107,-86.30861401354873,1.8437796940832718,0,0
ss0_flat,20,10.0,-30.0,2.0,0.0,30.083217912982647,-86.18592516570965,1.9049270805383214,0,0
ss0_flat,20,10.0,-29.0,2.0,0.0,29.086079144497976,-86.05481377096244,1.9702577587464667,0,0
ss0_flat,20,10.0,-28.0,2.0,0.0,28.089143810376278,-85.91438322002513,2.040214890334081,0,0
ss0_flat,20,10.0,-27.0,2.0,0.0,27.09243436828813,-85.76360520094116,2.1153063123633826,0,0
ss0_flat,20,10.0,-26.0,2.0,0.0,26.09597670139978,-85.60129464500447,2.1961167387923757,0,0
ss0_flat,20,10.0,-25.0,2.0,0.0,25.09980079602227,-85.42607874009914,2.2833228211476473,0,0
ss0_flat,20,10.0,-24.0,2.0,0.0,24.1039415863879,-85.23635830927383,2.3777118782591264,0,0
ss0_flat,20,10.0,-23.0,2.0,0.0,23.108440016582687,-85.0302592718897,2.480205376747051,0,0
ss0_flat,20,10.0,-22.0,2.0,0.0,22.11334438749598,-84.8055710922652,2.5918886223298774,0,0
ss0_flat,20,10.0,-21.0,2.0,0.0,21.118712081942878,-84.55966796899449,2.7140486551195933,0,0
ss0_flat,20,10.0,-20.0,2.0,0.0,20.12461179749811,-84.28940686250037,2.848223102977303,0,0
ss0_flat,20,10.0,-19.0,2.0,0.0,19.13112646970899,-83.99099404250548,2.996263848313101,0,0
ss0_flat,20,10.0,-18.0,2.0,0.0,18.138357147217057,-83.6598082540901,3.160420981763729,0,0
ss0_flat,20,10.0,-17.0,2.0,0.0,17.146428199482248,-83.29016319224307,3.343454932003705,0,0
ss0_flat,20,10.0,-16.0,2.0,0.0,16.15549442140351,-82.8749836510982,3.5487883308747326,0,0
ss0_flat,20,10.0,-15.0,2.0,0.0,15.165750888103101,-82.40535663140857,3.78071485282813,0,0
ss0_flat,20,10.0,-14.0,2.0,0.0,14.177446878757825,-81.86989764584403,4.044691235386268,0,0
ss0_flat,20,10.0,-13.0,2.0,0.0,13.19090595827292,-81.2538377374448,4.347753151335396,0,0
ss0_flat,20,10.0,-12.0,2.0,0.0,12.206555615733702,-80.53767779197439,4.69911946436983,0,0
ss0_flat,20,10.0,-11.0,2.0,0.0,11.224972160321824,-79.69515353123397,5.111089695288715,0,0
ss0_flat,20,10.0,-10.0,2.0,0.0,10.246950765959598,-78.69006752597979,5.600409184816617,0,0
ss0_flat,20,10.0,-9.0,2.0,0.0,9.273618495495704,-77.47119229084849,6.190399458571857,0,0
ss0_flat,20,10.0,-8.0,2.0,0.0,8.306623862918075,-75.96375653207353,6.914371772152123,0,0
ss0_flat,20,10.0,-7.0,2.0,0.0,7.3484692283495345,-74.05460409907715,7.821235506499645,0,0
ss0_flat,20,10.0,-6.0,2.0,0.0,6.403124237432849,-71.56505117707799,8.984876931685683,0,0
ss0_flat,20,10.0,-5.0,2.0,0.0,5.477225575051661,-68.19859051364818,10.51973489065862,0,0
ss0_flat,20,10.0,-4.0,2.0,0.0,4.582575694955841,-63.43494882292201,12.604382648379183,0,0
ss0_flat,20,10.0,-3.0,2.0,0.0,3.7416573867739413,-56.309932474020215,15.501359566936996,0,0
ss0_flat,20,10.0,-2.0,2.0,0.0,3.0000000000000004,-45.0,19.47122063449069,0,0
ss0_flat,20,10.0,-1.0,2.0,0.0,2.4494897427831783,-26.56505117707799,24.094842552110702,0,0
ss0_flat,20,10.0,0.0,2.0,0.0,2.23606797749979,0.0,26.56505117707799,0,0
ss0_flat,20,10.0,1.0,2.0,0.0,2.4494897427831783,26.56505117707799,24.094842552110702,0,0
