source_root,relative_path,suffix,bytes,kind,sha256
sprr440a (1),SPRR440\3D_PCB\PROC113D_BRD.step,.step,31928689,mechanical_cad,4f94d0b39d451f2c6599faf4530dece865e8efc15bc088a384c2fa27ada0f271
sprr440a (1),SPRR440\Assembly Drawings\PROC113D(001)_Assy.PDF,.pdf,2625116,document,313499bd053476b3e6e9767f701f9030e354410d5c0ef326714d1955ba5a714b
sprr440a (1),SPRR440\BOM\PROC113D(001)_BOM.xls,.xls,93184,bom,a196204835e14a064206db46d182907d1e1c25a0ef8d0eddd716a585dd030c3b
sprr440a (1),SPRR440\Schematics\PROC113D(001)_Sch.PDF,.pdf,4542466,document,1391965069217a2fa1bbdd4d53d57a4bd7715b7edfb8e8db7c047432b29239cf
sprr441a,SPRR441\PROC113D_3V3_Supply_Reference.SchDoc,.schdoc,297472,altium_source,9ca916a3e058fbb98fab9e7ac718610d38011de47f1bc89fc6e807dd2ee47515
sprr441a,SPRR441\PROC113D_ASCII.PcbDoc,.pcbdoc,44581965,altium_source,eba1791d75a42fe02ad2aa9672398f9252721cc243366510d27e3b170a9ceda6
sprr441a,SPRR441\PROC113D_AssemblyRelease.OutJob,.outjob,18887,altium_source,c439c8a8a5cfa87cd0cb775ce85ec1902bc400c6f63d3b345c9c831ad3c9408f
sprr441a,SPRR441\PROC113D_Auto_Ethernet_conn.SchDoc,.schdoc,281088,altium_source,148e46c4fe5bbc763287b6f56759a82bf816c763be1305172af878fa6077b720
sprr441a,SPRR441\PROC113D_Auto_Ethernet_PHY.SchDoc,.schdoc,950784,altium_source,cfcbb9225636cd0b83f841401d25a4b6b6ac025d1f92094f6c5522d658999c10
sprr441a,SPRR441\PROC113D_BRD.PcbDoc,.pcbdoc,23074816,altium_source,acef802923aa30800880c632d8046a093828a73976f84e35c804b530d68a9638
sprr441a,SPRR441\PROC113D_BRD.PcbDoc.htm,.htm,4973,other,8072ee4ff312782b7771582c152f4dbd3c3f5daa174fc82e0d9310dc55924a02
sprr441a,SPRR441\PROC113D_CAN_Interface.SchDoc,.schdoc,468480,altium_source,8cdaba0c37b789f954dbd47310ba095c380391e7fdfd5386a3ed561a2903755a
sprr441a,SPRR441\PROC113D_Common Documentation.OutJob,.outjob,102581,altium_source,47a188a4f31502ccf2be3f822e37ee8546f8e5dd033ea7ff500f8fc54e019252
sprr441a,SPRR441\PROC113D_CoverSheet.SchDoc,.schdoc,337408,altium_source,3ca6a129f571a20edc5c19dbf13c9c892a99605c47908ab7ebcabd800d694061
sprr441a,SPRR441\PROC113D_Current_Sensors.SchDoc,.schdoc,391168,altium_source,1870caa7e8f6079f23868645c62854b659fa567cb4a477481d4c0e89aabca0b6
sprr441a,SPRR441\PROC113D_Debug_Connector.SchDoc,.schdoc,718848,altium_source,081988e482be6e6f939b8425ceb6a94250c2345f2d962da2ea74d0087913cf45
