actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg
ideal_half_lambda,ideal_half_lambda,-60.0,-20.0,-59.99999999999914,-19.99999999999941,8.597567102697212e-13,5.897504706808832e-13
ideal_half_lambda,ideal_half_lambda,-40.0,-20.0,-39.99999999999955,-19.999999999999428,4.476419235288631e-13,5.719869022868806e-13
ideal_half_lambda,ideal_half_lambda,-20.0,-20.0,-19.999999999999726,-19.999999999999382,2.7355895326763857e-13,6.181721801112872e-13
ideal_half_lambda,ideal_half_lambda,0.0,-20.0,1.926347836200168e-13,-19.99999999999942,1.926347836200168e-13,5.790923296444817e-13
ideal_half_lambda,ideal_half_lambda,20.0,-20.0,20.000000000000117,-19.99999999999939,1.1723955140041653e-13,6.110667527536862e-13
ideal_half_lambda,ideal_half_lambda,40.0,-20.0,40.00000000000006,-19.999999999999403,5.684341886080802e-14,5.968558980384842e-13
ideal_half_lambda,ideal_half_lambda,60.0,-20.0,59.99999999999994,-19.999999999999435,-5.684341886080802e-14,5.648814749292796e-13
ideal_half_lambda,ideal_half_lambda,-60.0,-10.0,-59.999999999999666,-9.999999999999702,3.339550858072471e-13,2.984279490192421e-13
ideal_half_lambda,ideal_half_lambda,-40.0,-10.0,-39.99999999999983,-9.999999999999696,1.7053025658242404e-13,3.0375701953744283e-13
ideal_half_lambda,ideal_half_lambda,-20.0,-10.0,-19.999999999999858,-9.999999999999673,1.4210854715202004e-13,3.268496584496461e-13
ideal_half_lambda,ideal_half_lambda,0.0,-10.0,9.327551354541226e-14,-9.999999999999709,9.327551354541226e-14,2.913225216616411e-13
ideal_half_lambda,ideal_half_lambda,20.0,-10.0,20.00000000000007,-9.99999999999971,7.105427357601002e-14,2.8954616482224083e-13
ideal_half_lambda,ideal_half_lambda,40.0,-10.0,40.00000000000003,-9.999999999999709,2.842170943040401e-14,2.913225216616411e-13
ideal_half_lambda,ideal_half_lambda,60.0,-10.0,60.00000000000007,-9.99999999999971,7.105427357601002e-14,2.8954616482224083e-13
ideal_half_lambda,ideal_half_lambda,-60.0,0.0,-60.00000000000006,3.1233002531364727e-15,-5.684341886080802e-14,3.1233002531364727e-15
ideal_half_lambda,ideal_half_lambda,-40.0,0.0,-40.00000000000003,3.725394102218784e-15,-2.842170943040401e-14,3.725394102218784e-15
ideal_half_lambda,ideal_half_lambda,-20.0,0.0,-19.999999999999986,8.041056969740848e-16,1.4210854715202004e-14,8.041056969740848e-16
ideal_half_lambda,ideal_half_lambda,0.0,0.0,-8.428177446126813e-17,-5.1734741533259134e-17,-8.428177446126813e-17,-5.1734741533259134e-17
ideal_half_lambda,ideal_half_lambda,20.0,0.0,19.999999999999982,-3.991458487246974e-15,-1.7763568394002505e-14,-3.991458487246974e-15
ideal_half_lambda,ideal_half_lambda,40.0,0.0,40.000000000000036,-3.964359336920028e-15,3.552713678800501e-14,-3.964359336920028e-15
ideal_half_lambda,ideal_half_lambda,60.0,0.0,59.99999999999999,-1.2208413578200904e-14,-7.105427357601002e-15,-1.2208413578200904e-14
ideal_half_lambda,ideal_half_lambda,-60.0,10.0,-60.00000000000012,9.999999999999748,-1.2079226507921703e-13,-2.5224267119483557e-13
ideal_half_lambda,ideal_half_lambda,-40.0,10.0,-40.000000000000064,9.99999999999977,-6.394884621840902e-14,-2.291500322826323e-13
ideal_half_lambda,ideal_half_lambda,-20.0,10.0,-20.000000000000064,9.999999999999748,-6.394884621840902e-14,-2.5224267119483557e-13
ideal_half_lambda,ideal_half_lambda,0.0,10.0,-9.559249454234449e-14,9.999999999999762,-9.559249454234449e-14,-2.3803181647963356e-13
ideal_half_lambda,ideal_half_lambda,20.0,10.0,19.99999999999983,9.999999999999726,-1.7053025658242404e-13,-2.7355895326763857e-13
ideal_half_lambda,ideal_half_lambda,40.0,10.0,39.99999999999977,9.999999999999737,-2.2737367544323206e-13,-2.6290081223123707e-13
ideal_half_lambda,ideal_half_lambda,60.0,10.0,59.999999999999574,9.999999999999682,-4.263256414560601e-13,-3.1796787425264483e-13
ideal_half_lambda,ideal_half_lambda,-60.0,20.0,-59.99999999999994,19.99999999999949,5.684341886080802e-14,-5.115907697472721e-13
ideal_half_lambda,ideal_half_lambda,-40.0,20.0,-40.00000000000006,19.999999999999428,-5.684341886080802e-14,-5.719869022868806e-13
ideal_half_lambda,ideal_half_lambda,-20.0,20.0,-20.000000000000114,19.999999999999385,-1.1368683772161603e-13,-6.146194664324867e-13
