actual_model,assumed_model,azimuth_rmse_deg,elevation_rmse_deg,azimuth_max_abs_error_deg,elevation_max_abs_error_deg,combined_rmse_deg
ideal_half_lambda,ideal_half_lambda,2.6565142651694297e-13,4.0900426352046917e-13,8.597567102697212e-13,6.181721801112872e-13,3.448587884833502e-13
ideal_half_lambda,pcb_copper_centroid,39.98910316448636,14.13985482677809,59.987424904559326,19.99715125254977,29.99219787229916
ideal_half_lambda,rf_endpoint_candidate,39.98747242323141,14.141196638918151,59.98655620465835,20.01481858478737,29.99142705156961
ideal_half_lambda,cfg_candidate,29.066453193501918,16.495531629759785,47.39638298936225,23.838138300912064,23.632194830341547
pcb_copper_centroid,ideal_half_lambda,43.5454002952561,30.45123780041365,97.8246128078818,58.00761200929544,37.573127168572434
pcb_copper_centroid,pcb_copper_centroid,39.99980445844631,14.139940081155023,60.00825342212049,20.01291891320431,29.99935217811041
pcb_copper_centroid,rf_endpoint_candidate,40.00081888592012,14.142087473551307,60.008177189610535,20.00775144136046,30.000534575685155
pcb_copper_centroid,cfg_candidate,40.20598513511894,22.58252248754537,68.2061784507227,49.75525101608783,32.607449782111885
rf_endpoint_candidate,ideal_half_lambda,49.70268715774596,30.451237800434523,95.56102976217798,58.00761200916689,41.21671380811052
rf_endpoint_candidate,pcb_copper_centroid,40.00029152609511,14.142101908209334,60.01055721754305,20.021628720667305,30.000186404044015
rf_endpoint_candidate,rf_endpoint_candidate,40.00025140664112,14.141936153479087,60.01420193628923,20.009411307554743,30.000120589454085
rf_endpoint_candidate,cfg_candidate,41.12205804577726,20.31063527746852,70.9381569541205,46.3127988727476,32.43104657033614
cfg_candidate,ideal_half_lambda,64.30761284289771,40.853853425544024,128.00472220457726,74.46865223719362,53.87256448911569
cfg_candidate,pcb_copper_centroid,39.99809293396914,14.141578987596723,60.00312165460192,20.028816791791687,29.998597422353505
cfg_candidate,rf_endpoint_candidate,39.99613753818681,14.141993870532382,60.00435516741236,20.011513981530506,29.997391625004088
cfg_candidate,cfg_candidate,38.3208206295213,22.612536471379276,63.405770329010046,42.39894728706385,31.46277244132661
