actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,normalized_beam_peak
ideal_half_lambda,ideal_half_lambda,-60.0,-20.0,-60.0,-20.0,0.0,0.0,1.0000000000000002
ideal_half_lambda,ideal_half_lambda,-40.0,-20.0,-40.0,-20.0,0.0,0.0,0.9999999999999998
ideal_half_lambda,ideal_half_lambda,-20.0,-20.0,-20.0,-20.0,0.0,0.0,0.9999999999999998
ideal_half_lambda,ideal_half_lambda,0.0,-20.0,0.0,-20.0,0.0,0.0,0.9999999999999998
ideal_half_lambda,ideal_half_lambda,20.0,-20.0,20.0,-20.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,40.0,-20.0,40.0,-20.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,60.0,-20.0,60.0,-20.0,0.0,0.0,1.0000000000000002
ideal_half_lambda,ideal_half_lambda,-60.0,-10.0,-60.0,-10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,-40.0,-10.0,-40.0,-10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,-20.0,-10.0,-20.0,-10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,0.0,-10.0,0.0,-10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,20.0,-10.0,20.0,-10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,40.0,-10.0,40.0,-10.0,0.0,0.0,1.0000000000000002
ideal_half_lambda,ideal_half_lambda,60.0,-10.0,60.0,-10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,-60.0,0.0,-60.0,0.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,-40.0,0.0,-40.0,0.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,-20.0,0.0,-20.0,0.0,0.0,0.0,0.9999999999999998
ideal_half_lambda,ideal_half_lambda,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,20.0,0.0,20.0,0.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,40.0,0.0,40.0,0.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,60.0,0.0,60.0,0.0,0.0,0.0,0.9999999999999998
ideal_half_lambda,ideal_half_lambda,-60.0,10.0,-60.0,10.0,0.0,0.0,1.0000000000000002
ideal_half_lambda,ideal_half_lambda,-40.0,10.0,-40.0,10.0,0.0,0.0,1.0000000000000002
ideal_half_lambda,ideal_half_lambda,-20.0,10.0,-20.0,10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,0.0,10.0,0.0,10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,20.0,10.0,20.0,10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,40.0,10.0,40.0,10.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,60.0,10.0,60.0,10.0,0.0,0.0,0.9999999999999998
ideal_half_lambda,ideal_half_lambda,-60.0,20.0,-60.0,20.0,0.0,0.0,1.0000000000000002
ideal_half_lambda,ideal_half_lambda,-40.0,20.0,-40.0,20.0,0.0,0.0,0.9999999999999998
ideal_half_lambda,ideal_half_lambda,-20.0,20.0,-20.0,20.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,0.0,20.0,0.0,20.0,0.0,0.0,0.9999999999999998
ideal_half_lambda,ideal_half_lambda,20.0,20.0,20.0,20.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,40.0,20.0,40.0,20.0,0.0,0.0,1.0
ideal_half_lambda,ideal_half_lambda,60.0,20.0,60.0,20.0,0.0,0.0,1.0000000000000002
ideal_half_lambda,pcb_copper_centroid,-60.0,-20.0,36.0,-26.0,96.0,-6.0,0.86060684642476
ideal_half_lambda,pcb_copper_centroid,-40.0,-20.0,-46.0,-4.0,-6.0,16.0,0.8993234623706016
ideal_half_lambda,pcb_copper_centroid,-20.0,-20.0,74.0,2.0,94.0,22.0,0.9677654241765216
ideal_half_lambda,pcb_copper_centroid,0.0,-20.0,20.0,2.0,20.0,22.0,0.971609958603699
