actual_model,assumed_model,azimuth_rmse_deg,elevation_rmse_deg,combined_rmse_deg,exact_grid_hit_fraction
ideal_half_lambda,ideal_half_lambda,0.0,0.0,0.0,1.0
ideal_half_lambda,pcb_copper_centroid,65.1082614902726,14.743521579711835,47.20411604329194,0.02857142857142857
ideal_half_lambda,rf_endpoint_candidate,54.36595573387028,28.22359701688338,43.31413494131316,0.02857142857142857
ideal_half_lambda,cfg_candidate,43.953221887430665,34.082253446625266,39.32865186022599,0.02857142857142857
pcb_copper_centroid,ideal_half_lambda,47.06469711243996,28.336750494215607,38.84621695131421,0.02857142857142857
pcb_copper_centroid,pcb_copper_centroid,0.0,0.0,0.0,1.0
pcb_copper_centroid,rf_endpoint_candidate,58.97021039716337,34.32949585581306,48.249352327259274,0.14285714285714285
pcb_copper_centroid,cfg_candidate,59.853153634541265,32.14965007585619,48.041648597857254,0.02857142857142857
rf_endpoint_candidate,ideal_half_lambda,69.02256359853845,27.885480092693403,52.638931817212466,0.02857142857142857
rf_endpoint_candidate,pcb_copper_centroid,56.45326765185013,28.637637572158177,44.760952370820455,0.14285714285714285
rf_endpoint_candidate,rf_endpoint_candidate,0.0,0.0,0.0,1.0
rf_endpoint_candidate,cfg_candidate,58.11319004445426,24.94794580722028,44.718803970717154,0.02857142857142857
cfg_candidate,ideal_half_lambda,66.53205457307241,34.03191779155898,52.84262348845728,0.02857142857142857
cfg_candidate,pcb_copper_centroid,69.03249752316451,30.21825370769888,53.28521638986076,0.02857142857142857
cfg_candidate,rf_endpoint_candidate,61.89761130863037,26.412118430750684,47.58631255788941,0.02857142857142857
cfg_candidate,cfg_candidate,0.0,0.0,0.0,1.0
