manifest,valid_json,capture_id,capture_exists,channel_order_verified,ti_calibration_verified,target_truth_present,pose_reference_present,ready,missing_or_invalid
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka001_az-30_el-10_r10\manifest.json,True,ka001_az-30_el-10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka002_az-15_el-10_r10\manifest.json,True,ka002_az-15_el-10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka003_az+00_el-10_r10\manifest.json,True,ka003_az+00_el-10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka004_az+15_el-10_r10\manifest.json,True,ka004_az+15_el-10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka005_az+30_el-10_r10\manifest.json,True,ka005_az+30_el-10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka006_az-30_el+00_r10\manifest.json,True,ka006_az-30_el+00_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka007_az-15_el+00_r10\manifest.json,True,ka007_az-15_el+00_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka008_az+00_el+00_r10\manifest.json,True,ka008_az+00_el+00_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka009_az+15_el+00_r10\manifest.json,True,ka009_az+15_el+00_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka010_az+30_el+00_r10\manifest.json,True,ka010_az+30_el+00_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka011_az-30_el+10_r10\manifest.json,True,ka011_az-30_el+10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka012_az-15_el+10_r10\manifest.json,True,ka012_az-15_el+10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka013_az+00_el+10_r10\manifest.json,True,ka013_az+00_el+10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka014_az+15_el+10_r10\manifest.json,True,ka014_az+15_el+10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka015_az+30_el+10_r10\manifest.json,True,ka015_az+30_el+10_r10,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka016_az-30_el-10_r20\manifest.json,True,ka016_az-30_el-10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka017_az-15_el-10_r20\manifest.json,True,ka017_az-15_el-10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka018_az+00_el-10_r20\manifest.json,True,ka018_az+00_el-10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka019_az+15_el-10_r20\manifest.json,True,ka019_az+15_el-10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka020_az+30_el-10_r20\manifest.json,True,ka020_az+30_el-10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka021_az-30_el+00_r20\manifest.json,True,ka021_az-30_el+00_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka022_az-15_el+00_r20\manifest.json,True,ka022_az-15_el+00_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka023_az+00_el+00_r20\manifest.json,True,ka023_az+00_el+00_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka024_az+15_el+00_r20\manifest.json,True,ka024_az+15_el+00_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka025_az+30_el+00_r20\manifest.json,True,ka025_az+30_el+00_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka026_az-30_el+10_r20\manifest.json,True,ka026_az-30_el+10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka027_az-15_el+10_r20\manifest.json,True,ka027_az-15_el+10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka028_az+00_el+10_r20\manifest.json,True,ka028_az+00_el+10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka029_az+15_el+10_r20\manifest.json,True,ka029_az+15_el+10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_113_cfg_linked_capture_scaffold\ka030_az+30_el+10_r20\manifest.json,True,ka030_az+30_el+10_r20,False,False,False,True,False,False,capture_exists;channel_order_verified;ti_calibration_verified;pose_reference_present
