command,target_value,reference_value,same
adcCfg,2 0,2 0,True
adcbufCfg,-1 1 1 1 1,-1 1 1 1 1,True
antGeometryCfg,1 0 1 1 1 2 1 3 0 2 0 3 0 4 0 5 1 4 1 5 1 6 1 7 1 8 1 9 1 10 1 11 0.5 0.8,1 0 1 2 1 7 1 9 1 3 1 5 1 10 1 12 1 6 1 8 1 13 1 15 0 9 0 11 0 16 0 18 0.5 0.5,False
aoaFovCfg,-1 -90 90 -90 90,-1 -90 90 -90 90,True
calibData,0 0 0x1f0000,0 0 0,False
calibDcRangeSig,-1 0 -5 8 256,-1 0 -5 8 256,True
cfarCfg,-1 1 0 5 4 3 1 5 1,-1 1 0 4 2 3 1 15 1,False
cfarFovCfg,-1 1 -1 1.00,-1 1 -1 1.00,True
channelCfg,15 15 0 0 0,15 1 0 0 0,False
chirpCfg,3 3 0 0 0 0 0 2,0 0 0 0 0 0 0 1,False
clutterRemoval,-1 0,-1 0,True
compRangeBiasAndRxChanPhase,0.0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,0.0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,True
dfeDataOutputMode,1,1,True
extendedMaxVelocity,-1 0,-1 0,True
flushCfg,,,True
frameCfg,0 3 16 0 656 100 1 0,0 0 128 0 256 200 1 0,False
guiMonitor,-1 2 1 0 0 0 1,-1 1 1 0 0 0 1,False
lowPower,0 0,0 0,True
lvdsStreamCfg,,-1 0 1 0,False
measureRangeBiasAndRxChanPhase,0 1.5 0.2,0 1.5 0.2,True
multiObjBeamForming,-1 1 0.5,-1 1 0.5,True
profileCfg,0 77 186 7 57.14 0 0 70 1 656 13349 0 0 158,0 77 34 6 66 0 0 60 0 256 5000 0 0 30,False
sensorStart,,,True
sensorStop,,,True
