INDEXFORSAVE,LAYER,LAYER_V7,NAME,X,Y,XSIZE,YSIZE,SHAPE,UNIQUEID,status
0,MECHANICAL16,MECHANICAL24,1,4435.454mil,4618.3037mil,1.9684mil,1.9684mil,ROUND,VKETORVW,geometry_only_unconfirmed
1,MECHANICAL16,MECHANICAL24,1,4435.454mil,4602.5557mil,1.9684mil,1.9684mil,ROUND,IWYHKHQG,geometry_only_unconfirmed
2,MECHANICAL16,MECHANICAL24,1,4617.3218mil,2160.8968mil,7.8544mil,7.8544mil,ROUND,KQXRQXVJ,geometry_only_unconfirmed
3,MECHANICAL16,MECHANICAL24,1,4617.3218mil,2171.7432mil,7.8544mil,7.8544mil,ROUND,INHREJDJ,geometry_only_unconfirmed
4,MECHANICAL16,MECHANICAL24,1,4617.3218mil,2204.2234mil,7.8544mil,7.8544mil,ROUND,SJQAUQNQ,geometry_only_unconfirmed
5,MECHANICAL16,MECHANICAL24,1,4617.3218mil,2193.377mil,7.8544mil,7.8544mil,ROUND,SJSYAEBX,geometry_only_unconfirmed
6,MECHANICAL16,MECHANICAL24,1,4772.1102mil,3280.077mil,5mil,5mil,ROUND,KKALOBAH,geometry_only_unconfirmed
7,MECHANICAL16,MECHANICAL24,1,4772.1102mil,3280.077mil,5mil,5mil,ROUND,BRYKHYNO,geometry_only_unconfirmed
8,MECHANICAL16,MECHANICAL24,1,4772.1102mil,3327.077mil,5mil,5mil,ROUND,UMNOEIFS,geometry_only_unconfirmed
9,MECHANICAL16,MECHANICAL24,1,4772.1102mil,3327.077mil,5mil,5mil,ROUND,SRVFNOYI,geometry_only_unconfirmed
10,MECHANICAL16,MECHANICAL24,1,4870.6533mil,3162.627mil,5mil,5mil,ROUND,NIXKKNNG,geometry_only_unconfirmed
11,MECHANICAL16,MECHANICAL24,1,4865.6902mil,3157.6639mil,5mil,5mil,ROUND,TUOKMFLU,geometry_only_unconfirmed
12,MECHANICAL16,MECHANICAL24,1,4865.6902mil,3350.5771mil,5mil,5mil,ROUND,LHQFJHXE,geometry_only_unconfirmed
13,MECHANICAL16,MECHANICAL24,1,4870.6533mil,3345.614mil,5mil,5mil,ROUND,KISJODRG,geometry_only_unconfirmed
14,MECHANICAL16,MECHANICAL24,1,5711.595mil,3712.8216mil,4.252mil,4.252mil,ROUND,LYIRGPDE,geometry_only_unconfirmed
15,MECHANICAL16,MECHANICAL24,1,4638.995mil,2160.8968mil,7.8544mil,7.8544mil,ROUND,FKXVTSQS,geometry_only_unconfirmed
16,MECHANICAL16,MECHANICAL24,1,4638.995mil,2171.7432mil,7.8544mil,7.8544mil,ROUND,SFPYEEOX,geometry_only_unconfirmed
17,MECHANICAL16,MECHANICAL24,1,4638.995mil,2204.2234mil,7.8544mil,7.8544mil,ROUND,MOVDFWPP,geometry_only_unconfirmed
18,MECHANICAL16,MECHANICAL24,1,4638.995mil,2193.377mil,7.8544mil,7.8544mil,ROUND,SSBGOQXR,geometry_only_unconfirmed
19,BOTTOMPASTE,,1S,4735.7034mil,5609.9516mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,SHONEOCE,geometry_only_unconfirmed
20,BOTTOMPASTE,,2S,4735.7034mil,5637.5108mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,YUQRQYGL,geometry_only_unconfirmed
21,BOTTOMPASTE,,1S,4735.7034mil,5574.9509mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,SAJOXREW,geometry_only_unconfirmed
22,BOTTOMPASTE,,2S,4735.7034mil,5547.3917mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,VJFRCKHP,geometry_only_unconfirmed
23,BOTTOMPASTE,,1S,4211.4348mil,5573.913mil,11.811mil,19.685mil,ROUNDEDRECTANGLE,EIPLBUGM,geometry_only_unconfirmed
