virtual_input_index,tx_name,rx_name,cfg_row,cfg_column,cfg_azimuth_spacing_lambda,cfg_elevation_spacing_lambda,tx_center_x_mm,tx_center_y_mm,rx_center_x_mm,rx_center_y_mm,mapping_status,phase_center_confirmed,evidence
0,TX1,RX1,1,0,0.5,0.8,151.867019,135.352560,139.387388,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
1,TX1,RX2,1,1,0.5,0.8,151.867019,135.352560,141.287389,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
2,TX1,RX3,1,2,0.5,0.8,151.867019,135.352560,143.187388,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
3,TX1,RX4,1,3,0.5,0.8,151.867019,135.352560,145.087389,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
4,TX2,RX1,0,2,0.5,0.8,155.785020,138.487560,139.387388,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
5,TX2,RX2,0,3,0.5,0.8,155.785020,138.487560,141.287389,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
6,TX2,RX3,0,4,0.5,0.8,155.785020,138.487560,143.187388,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
7,TX2,RX4,0,5,0.5,0.8,155.785020,138.487560,145.087389,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
8,TX3,RX1,1,4,0.5,0.8,159.704019,135.352560,139.387388,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
9,TX3,RX2,1,5,0.5,0.8,159.704019,135.352560,141.287389,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
10,TX3,RX3,1,6,0.5,0.8,159.704019,135.352560,143.187388,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
11,TX3,RX4,1,7,0.5,0.8,159.704019,135.352560,145.087389,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
12,TX4,RX1,1,8,0.5,0.8,167.541019,135.352560,139.387388,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
13,TX4,RX2,1,9,0.5,0.8,167.541019,135.352560,141.287389,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
14,TX4,RX3,1,10,0.5,0.8,167.541019,135.352560,143.187388,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
15,TX4,RX4,1,11,0.5,0.8,167.541019,135.352560,145.087389,135.226237,candidate_network_and_region_geometry,false,PCB RF net name + extracted copper-region centroid + antGeometryCfg row/column; centroid is not electrical phase centre
