virtual_input_index,tx_name,rx_name,cfg_row,cfg_column,pcb_region_evidence,schematic_evidence,phase_center_evidence,channel_mapping_evidence,calibration_evidence,overall_status,source_note
0,TX1,RX1,1,0,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
1,TX1,RX2,1,1,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
2,TX1,RX3,1,2,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
3,TX1,RX4,1,3,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
4,TX2,RX1,0,2,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
5,TX2,RX2,0,3,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
6,TX2,RX3,0,4,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
7,TX2,RX4,0,5,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
8,TX3,RX1,1,4,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
9,TX3,RX2,1,5,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
10,TX3,RX3,1,6,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
11,TX3,RX4,1,7,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
12,TX4,RX1,1,8,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
13,TX4,RX2,1,9,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
14,TX4,RX3,1,10,confirmed_region_extraction,gcpw_to_antenna_context,not_available,document_supported_candidate,not_available,candidate_only,C:\Users\56461\Downloads\2944p资料\sprr440a (1)\SPRR440\Schematics\PROC113D(001)_Sch.PDF page 2: 50 ohm GCPW traces to antenna || TX1 || TX3 || TX2 || TX4 || RX1 || RX2 || RX3
