ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
0,4813.2902mil,3389.9784mil, 2.70000000000000E+0002,0402L,R210,"RES, 10.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402",Vault,CMP-0025958-3,False,inventory_only
1,4691.2487mil,2979.4682mil, 1.80000000000000E+0002,0805_155,C202,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
2,4691.2488mil,2889.4676mil, 1.80000000000000E+0002,0805_155,C201,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
3,4847.9415mil,2778.5696mil, 1.80000000000000E+0002,FP-HCJ0603ZT0R00_0603-MFG,R200,RES 0 OHM JUMPER 1/4W 0603,Vault,CMP-0091690-1,False,inventory_only
4,4846.7155mil,2903.4334mil, 1.80000000000000E+0002,XAL4030,L10,"Inductor, Shielded, Composite, 4.7 uH, 4.5 A, 0.0401 ohm, SMD",Vault,CMP-0060990-1,False,inventory_only
5,4812.4156mil,3123.9907mil, 0.00000000000000E+0000,0402L,C200,"CAP, CERM, 0.1 uF, 16 V, +/- 10%, X7R, 0402",Vault,CMP-0006351-2,False,inventory_only
6,4801.7318mil,3125.1899mil, 0.00000000000000E+0000,0402L,C199,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
7,4814.2342mil,3044.1858mil, 0.00000000000000E+0000,0805_155,C143,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
8,5090.4332mil,5345.4159mil, 1.80000000000000E+0002,FP-BLM18AG102SH1D_0603-MFG,FB1,"Chip Ferrite Bead, 0603, 1000O @ 100MHz, 0.5O, 25%, 450mA",Vault,CMP-0092964-1,False,inventory_only
9,5012.9718mil,3354.2126mil, 0.00000000000000E+0000,0402L,R199,"RES, 0, 0%, 0.2 W, AEC-Q200 Grade 0, 0402",C:\ProgramData\Altium\Altium Designer {08798257-203E-4C7A-A0B3-39526DB1B3E3}\VaultsFileCache\121e5280702ab013ed7fb95bdbff526f\Released\0402L.PcbLib,CMP-0081856-1,False,inventory_only
10,5012.9718mil,3354.2126mil, 0.00000000000000E+0000,0402L,R116,"RES, 0, 0%, 0.2 W, AEC-Q200 Grade 0, 0402",C:\ProgramData\Altium\Altium Designer {08798257-203E-4C7A-A0B3-39526DB1B3E3}\VaultsFileCache\121e5280702ab013ed7fb95bdbff526f\Released\0402L.PcbLib,CMP-0081856-1,False,inventory_only
