model,rx_index,tx_index,x_m,y_m,x_lambda,y_lambda
ideal_half_lambda,0,0,0.0,0.0,0.0,0.0
ideal_half_lambda,0,1,0.0019467042727272727,0.0,0.5,0.0
ideal_half_lambda,0,2,0.0038934085454545454,0.0,1.0,0.0
ideal_half_lambda,0,3,0.005840112818181818,0.0,1.5,0.0
ideal_half_lambda,1,0,0.0,0.0019467042727272727,0.0,0.5
ideal_half_lambda,1,1,0.0019467042727272727,0.0019467042727272727,0.5,0.5
ideal_half_lambda,1,2,0.0038934085454545454,0.0019467042727272727,1.0,0.5
ideal_half_lambda,1,3,0.005840112818181818,0.0019467042727272727,1.5,0.5
ideal_half_lambda,2,0,0.0,0.0038934085454545454,0.0,1.0
ideal_half_lambda,2,1,0.0019467042727272727,0.0038934085454545454,0.5,1.0
ideal_half_lambda,2,2,0.0038934085454545454,0.0038934085454545454,1.0,1.0
ideal_half_lambda,2,3,0.005840112818181818,0.0038934085454545454,1.5,1.0
ideal_half_lambda,3,0,0.0,0.005840112818181818,0.0,1.5
ideal_half_lambda,3,1,0.0019467042727272727,0.005840112818181818,0.5,1.5
ideal_half_lambda,3,2,0.0038934085454545454,0.005840112818181818,1.0,1.5
ideal_half_lambda,3,3,0.005840112818181818,0.005840112818181818,1.5,1.5
cfg_candidate,0,0,0.0,0.0031147268363636363,0.0,0.8
cfg_candidate,0,1,0.0038934085454545454,0.0,1.0,0.0
cfg_candidate,0,2,0.007786817090909091,0.0031147268363636363,2.0,0.8
cfg_candidate,0,3,0.015573634181818181,0.0031147268363636363,4.0,0.8
cfg_candidate,1,0,0.0019467042727272727,0.0031147268363636363,0.5,0.8
cfg_candidate,1,1,0.005840112818181818,0.0,1.5,0.0
cfg_candidate,1,2,0.009733521363636363,0.0031147268363636363,2.4999999999999996,0.8
cfg_candidate,1,3,0.017520338454545453,0.0031147268363636363,4.5,0.8
cfg_candidate,2,0,0.0038934085454545454,0.0031147268363636363,1.0,0.8
cfg_candidate,2,1,0.007786817090909091,0.0,2.0,0.0
cfg_candidate,2,2,0.011680225636363636,0.0031147268363636363,3.0,0.8
cfg_candidate,2,3,0.019467042727272725,0.0031147268363636363,4.999999999999999,0.8
cfg_candidate,3,0,0.005840112818181818,0.0031147268363636363,1.5,0.8
cfg_candidate,3,1,0.009733521363636363,0.0,2.4999999999999996,0.0
cfg_candidate,3,2,0.01362692990909091,0.0031147268363636363,3.5000000000000004,0.8
cfg_candidate,3,3,0.021413747,0.0031147268363636363,5.5,0.8
pcb_centroid_candidate,0,0,0.0,0.0,0.0,0.0
pcb_centroid_candidate,0,1,3.9180007999999873,3.135000079999969,1006.3163817149764,805.2070681511195
pcb_centroid_candidate,0,2,7.83699981999996,0.0,2012.8891506003026,0.0
pcb_centroid_candidate,0,3,15.673999639999977,0.0,4025.7783012006203,0.0
pcb_centroid_candidate,1,0,1.9000012800000263,0.0,488.0046000356754,0.0
pcb_centroid_candidate,1,1,5.818002080000014,3.135000079999969,1494.3209817506518,805.2070681511195
pcb_centroid_candidate,1,2,9.737001099999986,0.0,2500.893750635978,0.0
pcb_centroid_candidate,1,3,17.574000920000003,0.0,4513.782901236295,0.0
pcb_centroid_candidate,2,0,3.8000000200000272,0.0,976.0085476866869,0.0
pcb_centroid_candidate,2,1,7.7180008200000145,3.135000079999969,1982.3249294016634,805.2070681511195
pcb_centroid_candidate,2,2,11.636999839999987,0.0,2988.89769828699,0.0
pcb_centroid_candidate,2,3,19.473999660000004,0.0,5001.786848887307,0.0
pcb_centroid_candidate,3,0,5.700001300000025,0.0,1464.0131477223551,0.0
pcb_centroid_candidate,3,1,9.618002100000012,3.135000079999969,2470.3295294373315,805.2070681511195
pcb_centroid_candidate,3,2,13.537001119999985,0.0,3476.9022983226578,0.0
pcb_centroid_candidate,3,3,21.374000940000002,0.0,5489.791448922975,0.0
