scenario,model,gain_std_db,phase_std_deg,snr_db,trials,trial,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,second_peak_azimuth_deg,second_peak_elevation_deg,second_peak_score,peak_to_second_db,azimuth_error_deg,elevation_error_deg
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,-40.0,-10.0,-40.0,-10.0,1.0000000000000004,-41.0,-10.0,0.9978943143819843,0.009154518099919061,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,-40.0,0.0,-40.0,0.0,1.0,-41.0,0.0,0.9978289010851654,0.009439213228395691,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,-40.0,10.0,-40.0,10.0,1.0,-41.0,10.0,0.9978943143819834,0.009154518099920987,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,-20.0,-10.0,-20.0,-10.0,1.0,-21.0,-10.0,0.9968062959223184,0.013892276314482303,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,-20.0,0.0,-20.0,0.0,0.9999999999999996,-21.0,0.0,0.996707126400379,0.014324365466271142,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,-20.0,10.0,-20.0,10.0,1.0,-21.0,10.0,0.9968062959223182,0.013892276314483266,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,0.0,-10.0,0.0,-10.0,0.9999999999999998,0.0,-11.0,0.9963719303474768,0.01578515847406325,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9962477705472987,0.016326374804879296,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,0.0,10.0,0.0,10.0,1.0,0.0,11.0,0.996371930347478,0.01578515847405941,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,20.0,-10.0,20.0,-10.0,1.0,21.0,-10.0,0.9968062959223182,0.013892276314483266,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,20.0,0.0,20.0,0.0,1.0,21.0,0.0,0.9967071264003798,0.01432436546626922,0.0,0.0
ideal_clean,ideal_half_lambda,0.0,0.0,,1,0,20.0,10.0,20.0,10.0,1.0,21.0,10.0,0.996806295922318,0.013892276314484227,0.0,0.0
