case_id,frame,time_s,facet_index,x_m,y_m,z_m,azimuth_deg,elevation_deg,normal_x,normal_y,normal_z,incidence_cos,slant_range_m,vertical_velocity_mps,radial_velocity_mps,doppler_hz,scatter_proxy
ss0_flat,0,0.0,0,0.0,2.0,0.0,0.0,-26.56505117707799,-0.0,-0.0,1.0,0.4472135954999579,2.23606797749979,0.0,0.0,0.0,0.03999999999999999
ss0_flat,0,0.0,1,1.0,2.0,0.0,26.56505117707799,-24.094842552110702,-0.0,-0.0,1.0,0.4082482904638631,2.449489742783178,0.0,0.0,0.0,0.02777777777777779
ss0_flat,0,0.0,2,-1.0,2.0,0.0,-26.56505117707799,-24.094842552110702,-0.0,-0.0,1.0,0.4082482904638631,2.449489742783178,0.0,0.0,0.0,0.02777777777777779
ss0_flat,0,0.0,3,2.0,2.0,0.0,45.0,-19.47122063449069,-0.0,-0.0,1.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.012345679012345678
ss0_flat,0,0.0,4,-2.0,2.0,0.0,-45.0,-19.47122063449069,-0.0,-0.0,1.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.012345679012345678
ss0_flat,0,0.0,5,0.0,3.0,0.0,0.0,-18.43494882292201,-0.0,-0.0,1.0,0.31622776601683794,3.1622776601683795,0.0,0.0,0.0,0.009999999999999998
ss0_flat,0,0.0,6,-1.0,3.0,0.0,-18.43494882292201,-17.548400613792296,-0.0,-0.0,1.0,0.30151134457776363,3.3166247903554,0.0,0.0,0.0,0.008264462809917356
ss0_flat,0,0.0,7,1.0,3.0,0.0,18.43494882292201,-17.548400613792296,-0.0,-0.0,1.0,0.30151134457776363,3.3166247903554,0.0,0.0,0.0,0.008264462809917356
ss0_flat,0,0.0,8,3.0,2.0,0.0,56.309932474020215,-15.501359566936996,-0.0,-0.0,1.0,0.2672612419124244,3.7416573867739413,0.0,0.0,0.0,0.005102040816326531
ss0_flat,0,0.0,9,-3.0,2.0,0.0,-56.309932474020215,-15.501359566936996,-0.0,-0.0,1.0,0.2672612419124244,3.7416573867739413,0.0,0.0,0.0,0.005102040816326531
