case_id,frame,time_s,range_m,velocity_mps,power_linear,estimated_azimuth_deg,estimated_elevation_deg,peak_score,doppler_min_hz,doppler_max_hz
ss0_flat,0,0.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,1,0.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,2,1.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,3,1.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,4,2.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,5,2.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,6,3.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,7,3.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,8,4.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,9,4.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,10,5.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,11,5.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,12,6.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,13,6.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,14,7.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,15,7.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,16,8.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,17,8.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,18,9.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,19,9.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,20,10.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,21,10.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,22,11.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,23,11.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,24,12.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,25,12.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,26,13.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,27,13.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,28,14.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,29,14.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,30,15.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,31,15.5,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
ss0_flat,32,16.0,3.5131928671875,0.0,432687.30302196613,-49.0,-3.0,0.2809594018972227,0.0,0.0
