case_id,scenario_id,pfa,training_doppler,training_range,guard_doppler,guard_range,cfar_alpha,frames,point_count,points_per_frame,mean_power_linear,max_power_linear,mean_range_m,mean_velocity_mps
ss0_flat,pfa1e2_train2,0.01,2,2,1,1,4.880738172078534,41,0,0.0,,,,
ss0_flat,pfa1e3_train2,0.001,2,2,1,1,7.54008909748074,41,0,0.0,,,,
ss0_flat,pfa1e4_train2,0.0001,2,2,1,1,10.357016471766691,41,0,0.0,,,,
ss0_flat,pfa1e2_train4,0.01,4,4,1,1,4.701158013882836,41,0,0.0,,,,
ss0_flat,pfa1e3_train4,0.001,4,4,1,1,7.125225830266771,41,0,0.0,,,,
ss0_flat,pfa1e4_train4,0.0001,4,4,1,1,9.599645373046872,41,0,0.0,,,,
ss0_flat,pfa1e2_train8,0.01,8,8,2,2,4.630754400374464,41,0,0.0,,,,
ss0_flat,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,
ss0_flat,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,
ss1_rippled,pfa1e2_train2,0.01,2,2,1,1,4.880738172078534,41,0,0.0,,,,
ss1_rippled,pfa1e3_train2,0.001,2,2,1,1,7.54008909748074,41,0,0.0,,,,
ss1_rippled,pfa1e4_train2,0.0001,2,2,1,1,10.357016471766691,41,0,0.0,,,,
ss1_rippled,pfa1e2_train4,0.01,4,4,1,1,4.701158013882836,41,0,0.0,,,,
ss1_rippled,pfa1e3_train4,0.001,4,4,1,1,7.125225830266771,41,0,0.0,,,,
ss1_rippled,pfa1e4_train4,0.0001,4,4,1,1,9.599645373046872,41,0,0.0,,,,
ss1_rippled,pfa1e2_train8,0.01,8,8,2,2,4.630754400374464,41,0,0.0,,,,
ss1_rippled,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,
ss1_rippled,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,
ss2_normal,pfa1e2_train2,0.01,2,2,1,1,4.880738172078534,41,0,0.0,,,,
ss2_normal,pfa1e3_train2,0.001,2,2,1,1,7.54008909748074,41,0,0.0,,,,
ss2_normal,pfa1e4_train2,0.0001,2,2,1,1,10.357016471766691,41,0,0.0,,,,
ss2_normal,pfa1e2_train4,0.01,4,4,1,1,4.701158013882836,41,0,0.0,,,,
ss2_normal,pfa1e3_train4,0.001,4,4,1,1,7.125225830266771,41,0,0.0,,,,
ss2_normal,pfa1e4_train4,0.0001,4,4,1,1,9.599645373046872,41,0,0.0,,,,
ss2_normal,pfa1e2_train8,0.01,8,8,2,2,4.630754400374464,41,0,0.0,,,,
ss2_normal,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,
ss2_normal,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,
ss3_nominal,pfa1e2_train2,0.01,2,2,1,1,4.880738172078534,41,5,0.12195121951219512,79903.1765625,153218.265625,7.3777050210937505,-0.060834508522727274
ss3_nominal,pfa1e3_train2,0.001,2,2,1,1,7.54008909748074,41,4,0.0975609756097561,81100.7421875,153218.265625,7.026385734375,-0.07604313565340909
ss3_nominal,pfa1e4_train2,0.0001,2,2,1,1,10.357016471766691,41,3,0.07317073170731707,89189.72005208333,153218.265625,7.026385734375,-0.10139084753787879
ss3_nominal,pfa1e2_train4,0.01,4,4,1,1,4.701158013882836,41,2,0.04878048780487805,64855.255859375,75112.9140625,8.78298216796875,0.0
ss3_nominal,pfa1e3_train4,0.001,4,4,1,1,7.125225830266771,41,2,0.04878048780487805,64855.255859375,75112.9140625,8.78298216796875,0.0
ss3_nominal,pfa1e4_train4,0.0001,4,4,1,1,9.599645373046872,41,0,0.0,,,,
ss3_nominal,pfa1e2_train8,0.01,8,8,2,2,4.630754400374464,41,0,0.0,,,,
ss3_nominal,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,
ss3_nominal,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,
ss3_upper,pfa1e2_train2,0.01,2,2,1,1,4.880738172078534,41,11,0.2682926829268293,96324.18678977272,225951.421875,7.345766904119319,-0.05530409865702479
ss3_upper,pfa1e3_train2,0.001,2,2,1,1,7.54008909748074,41,6,0.14634146341463414,130899.36067708333,225951.421875,6.733619662109375,-0.050695423768939395
ss3_upper,pfa1e4_train2,0.0001,2,2,1,1,10.357016471766691,41,6,0.14634146341463414,130899.36067708333,225951.421875,6.733619662109375,-0.050695423768939395
ss3_upper,pfa1e2_train4,0.01,4,4,1,1,4.701158013882836,41,3,0.07317073170731707,98136.2109375,154223.09375,8.78298216796875,0.0
ss3_upper,pfa1e3_train4,0.001,4,4,1,1,7.125225830266771,41,2,0.04878048780487805,130904.33203125,154223.09375,8.78298216796875,0.0
ss3_upper,pfa1e4_train4,0.0001,4,4,1,1,9.599645373046872,41,2,0.04878048780487805,130904.33203125,154223.09375,8.78298216796875,0.0
ss3_upper,pfa1e2_train8,0.01,8,8,2,2,4.630754400374464,41,0,0.0,,,,
ss3_upper,pfa1e3_train8,0.001,8,8,2,2,6.965426312642791,41,0,0.0,,,,
ss3_upper,pfa1e4_train8,0.0001,8,8,2,2,9.313056604394639,41,0,0.0,,,,
