case_id,scenario_id,target_snr_db,pfa,target_range_truth_m,target_velocity_truth_mps,target_rcs_m2,frames,detection_probability,mean_false_alarms_per_frame,target_azimuth_rmse_deg,target_elevation_rmse_deg,mean_target_amplitude,target_id
ss2_normal,snr0_pfa0.01,0.0,0.01,8.0,1.0,1.0,41,1.0,0.0,0.0,0.0,787.1859731149825,r08
ss2_normal,snr0_pfa0.001,0.0,0.001,8.0,1.0,1.0,41,1.0,0.0,0.0,0.0,787.1859731149825,r08
ss2_normal,snr5_pfa0.01,5.0,0.01,8.0,1.0,1.0,41,1.0,0.0,0.0,0.0,1399.8366078618265,r08
ss2_normal,snr5_pfa0.001,5.0,0.001,8.0,1.0,1.0,41,1.0,0.0,0.0,0.0,1399.8366078618265,r08
ss2_normal,snr10_pfa0.01,10.0,0.01,8.0,1.0,1.0,41,1.0,0.0,0.0,0.0,2489.3006171794154,r08
ss2_normal,snr10_pfa0.001,10.0,0.001,8.0,1.0,1.0,41,1.0,0.0,0.0,0.0,2489.3006171794154,r08
ss2_normal,snr15_pfa0.01,15.0,0.01,8.0,1.0,1.0,41,1.0,0.0,0.0,0.0,4426.672032927338,r08
ss2_normal,snr15_pfa0.001,15.0,0.001,8.0,1.0,1.0,41,1.0,0.0,0.0,0.0,4426.672032927338,r08
ss2_normal,snr0_pfa0.01,0.0,0.01,20.0,1.0,1.0,41,0.0,0.0,,,0.26040843111943873,r20
ss2_normal,snr0_pfa0.001,0.0,0.001,20.0,1.0,1.0,41,0.0,0.0,,,0.26040843111943873,r20
ss2_normal,snr5_pfa0.01,5.0,0.01,20.0,1.0,1.0,41,0.0,0.0,,,0.463078951260237,r20
ss2_normal,snr5_pfa0.001,5.0,0.001,20.0,1.0,1.0,41,0.0,0.0,,,0.463078951260237,r20
ss2_normal,snr10_pfa0.01,10.0,0.01,20.0,1.0,1.0,41,1.0,0.0,0.0,0.0,0.8234837642484971,r20
ss2_normal,snr10_pfa0.001,10.0,0.001,20.0,1.0,1.0,41,1.0,0.0,0.0,0.0,0.8234837642484971,r20
