truth_azimuth_deg,truth_elevation_deg,rx_order,tx_order,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score,identity_order
10.0,2.0,"0,1,2,3","0,1,2,3",10.0,2.0,0.0,0.0,1.0,True
10.0,2.0,"0,1,2,3","0,1,3,2",-4.0,12.0,-14.0,10.0,0.9888663548138336,False
10.0,2.0,"0,1,2,3","0,2,1,3",-59.0,-4.0,-69.0,-6.0,0.9198182015292896,False
10.0,2.0,"0,1,2,3","0,2,3,1",-30.0,10.0,-40.0,8.0,0.6708205513292717,False
10.0,2.0,"0,1,2,3","0,3,1,2",46.0,17.0,36.0,15.0,0.9347090017949357,False
10.0,2.0,"0,1,2,3","0,3,2,1",37.0,0.0,27.0,-2.0,0.9530880712115425,False
10.0,2.0,"0,1,2,3","1,0,2,3",-26.0,9.0,-36.0,7.0,0.872117623396146,False
10.0,2.0,"0,1,2,3","1,0,3,2",-54.0,5.0,-64.0,3.0,0.858741506971291,False
10.0,2.0,"0,1,2,3","1,2,0,3",-38.0,-5.0,-48.0,-7.0,0.7765059058575047,False
10.0,2.0,"0,1,2,3","1,2,3,0",37.0,-15.0,27.0,-17.0,0.6820754358167856,False
10.0,2.0,"0,1,2,3","1,3,0,2",36.0,-7.0,26.0,-9.0,0.9574871414279132,False
10.0,2.0,"0,1,2,3","1,3,2,0",30.0,19.0,20.0,17.0,0.9605693757149152,False
10.0,2.0,"0,1,2,3","2,0,1,3",-4.0,12.0,-14.0,10.0,0.6655307137496976,False
10.0,2.0,"0,1,2,3","2,0,3,1",-47.0,17.0,-57.0,15.0,0.9112403341718286,False
10.0,2.0,"0,1,2,3","2,1,0,3",-16.0,-16.0,-26.0,-18.0,0.9932871189958515,False
10.0,2.0,"0,1,2,3","2,1,3,0",-60.0,6.0,-70.0,4.0,0.9933099962910816,False
10.0,2.0,"0,1,2,3","2,3,0,1",54.0,13.0,44.0,11.0,0.9727739698826495,False
10.0,2.0,"0,1,2,3","2,3,1,0",27.0,5.0,17.0,3.0,0.940189012884028,False
10.0,2.0,"0,1,2,3","3,0,1,2",-60.0,6.0,-70.0,4.0,0.6691138680643232,False
10.0,2.0,"0,1,2,3","3,0,2,1",15.0,-20.0,5.0,-22.0,0.8874087242012904,False
10.0,2.0,"0,1,2,3","3,1,0,2",-60.0,-6.0,-70.0,-8.0,0.9935871435428951,False
10.0,2.0,"0,1,2,3","3,1,2,0",29.0,-19.0,19.0,-21.0,0.9810334615745812,False
10.0,2.0,"0,1,2,3","3,2,0,1",-36.0,17.0,-46.0,15.0,0.7772595382290103,False
10.0,2.0,"0,1,2,3","3,2,1,0",-19.0,-20.0,-29.0,-22.0,0.9432444441982961,False
10.0,2.0,"0,1,3,2","0,1,2,3",-17.0,-12.0,-27.0,-14.0,0.6463850255807477,False
10.0,2.0,"0,1,3,2","0,1,3,2",-58.0,14.0,-68.0,12.0,0.6546335429636415,False
10.0,2.0,"0,1,3,2","0,2,1,3",-56.0,14.0,-66.0,12.0,0.6283351446944383,False
10.0,2.0,"0,1,3,2","0,2,3,1",-42.0,-11.0,-52.0,-13.0,0.4675188404342705,False
10.0,2.0,"0,1,3,2","0,3,1,2",44.0,15.0,34.0,13.0,0.6112101456212784,False
10.0,2.0,"0,1,3,2","0,3,2,1",-17.0,12.0,-27.0,10.0,0.6437485573138717,False
10.0,2.0,"0,1,3,2","1,0,2,3",-54.0,-11.0,-64.0,-13.0,0.5892092851559708,False
10.0,2.0,"0,1,3,2","1,0,3,2",-56.0,14.0,-66.0,12.0,0.5879620388700351,False
10.0,2.0,"0,1,3,2","1,2,0,3",-47.0,-5.0,-57.0,-7.0,0.5171854224500259,False
10.0,2.0,"0,1,3,2","1,2,3,0",-42.0,0.0,-52.0,-2.0,0.4656595375078941,False
10.0,2.0,"0,1,3,2","1,3,0,2",-28.0,4.0,-38.0,2.0,0.6465966123477719,False
10.0,2.0,"0,1,3,2","1,3,2,0",21.0,4.0,11.0,2.0,0.6351120729199363,False
10.0,2.0,"0,1,3,2","2,0,1,3",-58.0,14.0,-68.0,12.0,0.4389959970347611,False
10.0,2.0,"0,1,3,2","2,0,3,1",-22.0,-9.0,-32.0,-11.0,0.591147595313286,False
10.0,2.0,"0,1,3,2","2,1,0,3",-3.0,1.0,-13.0,-1.0,0.655275602571931,False
10.0,2.0,"0,1,3,2","2,1,3,0",19.0,10.0,9.0,8.0,0.6404879624502481,False
10.0,2.0,"0,1,3,2","2,3,0,1",-3.0,16.0,-13.0,14.0,0.6461281286428474,False
10.0,2.0,"0,1,3,2","2,3,1,0",-29.0,-15.0,-39.0,-17.0,0.6004915902776959,False
10.0,2.0,"0,1,3,2","3,0,1,2",19.0,10.0,9.0,8.0,0.43000537270359845,False
10.0,2.0,"0,1,3,2","3,0,2,1",-30.0,16.0,-40.0,14.0,0.5903328562351504,False
10.0,2.0,"0,1,3,2","3,1,0,2",35.0,9.0,25.0,7.0,0.6568576490397054,False
10.0,2.0,"0,1,3,2","3,1,2,0",-56.0,7.0,-66.0,5.0,0.660202375035077,False
10.0,2.0,"0,1,3,2","3,2,0,1",-50.0,18.0,-60.0,16.0,0.4950277215072903,False
10.0,2.0,"0,1,3,2","3,2,1,0",22.0,11.0,12.0,9.0,0.6326526425980478,False
10.0,2.0,"0,2,1,3","0,1,2,3",-4.0,-9.0,-14.0,-11.0,0.9510614791679233,False
10.0,2.0,"0,2,1,3","0,1,3,2",-21.0,-3.0,-31.0,-5.0,0.9739543070089658,False
10.0,2.0,"0,2,1,3","0,2,1,3",-26.0,-3.0,-36.0,-5.0,0.9346624619668615,False
10.0,2.0,"0,2,1,3","0,2,3,1",9.0,0.0,-1.0,-2.0,0.6911856607272178,False
10.0,2.0,"0,2,1,3","0,3,1,2",-41.0,-14.0,-51.0,-16.0,0.949308317585964,False
10.0,2.0,"0,2,1,3","0,3,2,1",-39.0,15.0,-49.0,13.0,0.9413034285583465,False
