rx_order,tx_order,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score,identity_order
"0,1,2,3","0,1,2,3",30.0,5.0,0.0,0.0,1.0000000000000004,True
"0,1,2,3","0,1,3,2",60.0,4.0,30.0,-1.0,0.3974816826992697,False
"0,1,2,3","0,2,1,3",-54.0,5.0,-84.0,0.0,0.8796864624707452,False
"0,1,2,3","0,2,3,1",53.0,5.0,23.0,0.0,0.881254983737102,False
"0,1,2,3","0,3,1,2",60.0,4.0,30.0,-1.0,0.40093115216751674,False
"0,1,2,3","0,3,2,1",-30.0,5.0,-60.0,0.0,0.9998928188142385,False
"0,1,2,3","1,0,2,3",60.0,4.0,30.0,-1.0,0.39748168269927,False
"0,1,2,3","1,0,3,2",-30.0,5.0,-60.0,0.0,0.9998570917523177,False
"0,1,2,3","1,2,0,3",60.0,4.0,30.0,-1.0,0.40093115216751674,False
"0,1,2,3","1,2,3,0",30.0,5.0,0.0,0.0,0.9998928188142385,False
"0,1,2,3","1,3,0,2",54.0,5.0,24.0,0.0,0.8863292127433684,False
"0,1,2,3","1,3,2,0",-53.0,5.0,-83.0,0.0,0.8812549837371022,False
"0,1,2,3","2,0,1,3",53.0,5.0,23.0,0.0,0.8812549837371026,False
"0,1,2,3","2,0,3,1",-54.0,5.0,-84.0,0.0,0.8863292127433682,False
"0,1,2,3","2,1,0,3",-30.0,5.0,-60.0,0.0,0.9998928188142383,False
"0,1,2,3","2,1,3,0",-60.0,4.0,-90.0,-1.0,0.4009311521675166,False
"0,1,2,3","2,3,0,1",30.0,5.0,0.0,0.0,0.9998570917523182,False
"0,1,2,3","2,3,1,0",-60.0,4.0,-90.0,-1.0,0.3974816826992697,False
"0,1,2,3","3,0,1,2",30.0,5.0,0.0,0.0,0.9998928188142383,False
"0,1,2,3","3,0,2,1",-60.0,4.0,-90.0,-1.0,0.4009311521675166,False
"0,1,2,3","3,1,0,2",-53.0,5.0,-83.0,0.0,0.8812549837371024,False
"0,1,2,3","3,1,2,0",54.0,5.0,24.0,0.0,0.8796864624707452,False
"0,1,2,3","3,2,0,1",-60.0,4.0,-90.0,-1.0,0.39748168269926987,False
"0,1,2,3","3,2,1,0",-30.0,5.0,-60.0,0.0,0.9999999999999998,False
"0,1,3,2","0,1,2,3",30.0,4.0,0.0,-1.0,0.9667393428825454,False
"0,1,3,2","0,1,3,2",60.0,4.0,30.0,-1.0,0.38570185821433955,False
"0,1,3,2","0,2,1,3",-54.0,4.0,-84.0,-1.0,0.8503368333737075,False
"0,1,3,2","0,2,3,1",53.0,4.0,23.0,-1.0,0.8520469961069337,False
"0,1,3,2","0,3,1,2",60.0,4.0,30.0,-1.0,0.38904909870784216,False
"0,1,3,2","0,3,2,1",-30.0,4.0,-60.0,-1.0,0.9666730121028082,False
"0,1,3,2","1,0,2,3",60.0,4.0,30.0,-1.0,0.38570185821433955,False
"0,1,3,2","1,0,3,2",-30.0,4.0,-60.0,-1.0,0.9666509018087969,False
"0,1,3,2","1,2,0,3",60.0,4.0,30.0,-1.0,0.38904909870784204,False
"0,1,3,2","1,2,3,0",30.0,4.0,0.0,-1.0,0.9666730121028082,False
"0,1,3,2","1,3,0,2",53.0,4.0,23.0,-1.0,0.8569307559362416,False
"0,1,3,2","1,3,2,0",-53.0,4.0,-83.0,-1.0,0.8520469961069341,False
"0,1,3,2","2,0,1,3",53.0,4.0,23.0,-1.0,0.8520469961069341,False
"0,1,3,2","2,0,3,1",-53.0,4.0,-83.0,-1.0,0.8569307559362411,False
"0,1,3,2","2,1,0,3",-30.0,4.0,-60.0,-1.0,0.9666730121028082,False
"0,1,3,2","2,1,3,0",-60.0,4.0,-90.0,-1.0,0.38904909870784216,False
"0,1,3,2","2,3,0,1",30.0,4.0,0.0,-1.0,0.9666509018087969,False
"0,1,3,2","2,3,1,0",-60.0,4.0,-90.0,-1.0,0.3857018582143397,False
"0,1,3,2","3,0,1,2",30.0,4.0,0.0,-1.0,0.966673012102808,False
"0,1,3,2","3,0,2,1",-60.0,4.0,-90.0,-1.0,0.3890490987078419,False
"0,1,3,2","3,1,0,2",-53.0,4.0,-83.0,-1.0,0.8520469961069339,False
"0,1,3,2","3,1,2,0",54.0,4.0,24.0,-1.0,0.8503368333737075,False
"0,1,3,2","3,2,0,1",-60.0,4.0,-90.0,-1.0,0.38570185821433944,False
"0,1,3,2","3,2,1,0",-30.0,4.0,-60.0,-1.0,0.9667393428825454,False
"0,2,1,3","0,1,2,3",30.0,4.0,0.0,-1.0,0.9666948456350061,False
"0,2,1,3","0,1,3,2",60.0,4.0,30.0,-1.0,0.38568410506175727,False
"0,2,1,3","0,2,1,3",-54.0,4.0,-84.0,-1.0,0.8502976939212322,False
"0,2,1,3","0,2,3,1",53.0,4.0,23.0,-1.0,0.8520077779387893,False
"0,2,1,3","0,3,1,2",60.0,4.0,30.0,-1.0,0.38903119148788895,False
"0,2,1,3","0,3,2,1",-30.0,4.0,-60.0,-1.0,0.9666285179083532,False
"0,2,1,3","1,0,2,3",60.0,4.0,30.0,-1.0,0.38568410506175754,False
"0,2,1,3","1,0,3,2",-30.0,4.0,-60.0,-1.0,0.9666064086320381,False
"0,2,1,3","1,2,0,3",60.0,4.0,30.0,-1.0,0.38903119148788895,False
"0,2,1,3","1,2,3,0",30.0,4.0,0.0,-1.0,0.9666285179083535,False
"0,2,1,3","1,3,0,2",53.0,4.0,23.0,-1.0,0.8568913129775452,False
"0,2,1,3","1,3,2,0",-53.0,4.0,-83.0,-1.0,0.8520077779387891,False
"0,2,1,3","2,0,1,3",53.0,4.0,23.0,-1.0,0.8520077779387896,False
"0,2,1,3","2,0,3,1",-53.0,4.0,-83.0,-1.0,0.8568913129775451,False
"0,2,1,3","2,1,0,3",-30.0,4.0,-60.0,-1.0,0.9666285179083532,False
"0,2,1,3","2,1,3,0",-60.0,4.0,-90.0,-1.0,0.38903119148788895,False
"0,2,1,3","2,3,0,1",30.0,4.0,0.0,-1.0,0.9666064086320383,False
"0,2,1,3","2,3,1,0",-60.0,4.0,-90.0,-1.0,0.38568410506175743,False
"0,2,1,3","3,0,1,2",30.0,4.0,0.0,-1.0,0.966628517908353,False
"0,2,1,3","3,0,2,1",-60.0,4.0,-90.0,-1.0,0.38903119148788895,False
"0,2,1,3","3,1,0,2",-53.0,4.0,-83.0,-1.0,0.8520077779387896,False
"0,2,1,3","3,1,2,0",54.0,4.0,24.0,-1.0,0.8502976939212328,False
"0,2,1,3","3,2,0,1",-60.0,4.0,-90.0,-1.0,0.38568410506175754,False
"0,2,1,3","3,2,1,0",-30.0,4.0,-60.0,-1.0,0.9666948456350059,False
"0,2,3,1","0,1,2,3",30.0,2.0,0.0,-3.0,0.9233857977488678,False
"0,2,3,1","0,1,3,2",60.0,2.0,30.0,-3.0,0.3702719925331654,False
"0,2,3,1","0,2,1,3",-53.0,2.0,-83.0,-3.0,0.8122328695424677,False
"0,2,3,1","0,2,3,1",53.0,2.0,23.0,-3.0,0.8139440365903656,False
"0,2,3,1","0,3,1,2",60.0,2.0,30.0,-3.0,0.37350778661707634,False
"0,2,3,1","0,3,2,1",-30.0,2.0,-60.0,-3.0,0.9233699534372491,False
"0,2,3,1","1,0,2,3",60.0,2.0,30.0,-3.0,0.37027199253316556,False
"0,2,3,1","1,0,3,2",-30.0,2.0,-60.0,-3.0,0.92336467195567,False
"0,2,3,1","1,2,0,3",60.0,2.0,30.0,-3.0,0.37350778661707634,False
"0,2,3,1","1,2,3,0",30.0,2.0,0.0,-3.0,0.9233699534372493,False
"0,2,3,1","1,3,0,2",53.0,2.0,23.0,-3.0,0.8186304474059944,False
"0,2,3,1","1,3,2,0",-53.0,2.0,-83.0,-3.0,0.8139440365903658,False
"0,2,3,1","2,0,1,3",53.0,2.0,23.0,-3.0,0.8139440365903661,False
"0,2,3,1","2,0,3,1",-53.0,2.0,-83.0,-3.0,0.8186304474059949,False
"0,2,3,1","2,1,0,3",-30.0,2.0,-60.0,-3.0,0.9233699534372495,False
"0,2,3,1","2,1,3,0",-60.0,2.0,-90.0,-3.0,0.3735077866170762,False
"0,2,3,1","2,3,0,1",30.0,2.0,0.0,-3.0,0.9233646719556697,False
"0,2,3,1","2,3,1,0",-60.0,2.0,-90.0,-3.0,0.3702719925331654,False
"0,2,3,1","3,0,1,2",30.0,2.0,0.0,-3.0,0.9233699534372491,False
"0,2,3,1","3,0,2,1",-60.0,2.0,-90.0,-3.0,0.37350778661707634,False
"0,2,3,1","3,1,0,2",-53.0,2.0,-83.0,-3.0,0.8139440365903658,False
"0,2,3,1","3,1,2,0",53.0,2.0,23.0,-3.0,0.8122328695424677,False
"0,2,3,1","3,2,0,1",-60.0,2.0,-90.0,-3.0,0.3702719925331654,False
"0,2,3,1","3,2,1,0",-30.0,2.0,-60.0,-3.0,0.9233857977488678,False
"0,3,1,2","0,1,2,3",30.0,2.0,0.0,-3.0,0.9238452763720906,False
"0,3,1,2","0,1,3,2",60.0,2.0,30.0,-3.0,0.37045624061859384,False
"0,3,1,2","0,2,1,3",-53.0,2.0,-83.0,-3.0,0.8126370382458886,False
"0,3,1,2","0,2,3,1",53.0,2.0,23.0,-3.0,0.8143490567739388,False
"0,3,1,2","0,3,1,2",60.0,2.0,30.0,-3.0,0.37369364484012496,False
"0,3,1,2","0,3,2,1",-30.0,2.0,-60.0,-3.0,0.9238294241763112,False
"0,3,1,2","1,0,2,3",60.0,2.0,30.0,-3.0,0.3704562406185941,False
"0,3,1,2","1,0,3,2",-30.0,2.0,-60.0,-3.0,0.9238241400666558,False
"0,3,1,2","1,2,0,3",60.0,2.0,30.0,-3.0,0.3736936448401248,False
"0,3,1,2","1,2,3,0",30.0,2.0,0.0,-3.0,0.9238294241763112,False
"0,3,1,2","1,3,0,2",53.0,2.0,23.0,-3.0,0.8190377995569801,False
"0,3,1,2","1,3,2,0",-53.0,2.0,-83.0,-3.0,0.814349056773939,False
"0,3,1,2","2,0,1,3",53.0,2.0,23.0,-3.0,0.8143490567739392,False
"0,3,1,2","2,0,3,1",-53.0,2.0,-83.0,-3.0,0.8190377995569803,False
"0,3,1,2","2,1,0,3",-30.0,2.0,-60.0,-3.0,0.923829424176311,False
"0,3,1,2","2,1,3,0",-60.0,2.0,-90.0,-3.0,0.3736936448401248,False
"0,3,1,2","2,3,0,1",30.0,2.0,0.0,-3.0,0.9238241400666556,False
"0,3,1,2","2,3,1,0",-60.0,2.0,-90.0,-3.0,0.3704562406185941,False
"0,3,1,2","3,0,1,2",30.0,2.0,0.0,-3.0,0.923829424176311,False
"0,3,1,2","3,0,2,1",-60.0,2.0,-90.0,-3.0,0.37369364484012496,False
"0,3,1,2","3,1,0,2",-53.0,2.0,-83.0,-3.0,0.8143490567739394,False
"0,3,1,2","3,1,2,0",53.0,2.0,23.0,-3.0,0.8126370382458891,False
"0,3,1,2","3,2,0,1",-60.0,2.0,-90.0,-3.0,0.3704562406185942,False
"0,3,1,2","3,2,1,0",-30.0,2.0,-60.0,-3.0,0.9238452763720908,False
"0,3,2,1","0,1,2,3",30.0,1.0,0.0,-4.0,0.9130317330314849,False
"0,3,2,1","0,1,3,2",60.0,1.0,30.0,-4.0,0.3665813584973748,False
"0,3,2,1","0,2,1,3",-53.0,1.0,-83.0,-4.0,0.8031647257513076,False
"0,3,2,1","0,2,3,1",53.0,1.0,23.0,-4.0,0.8048393826823509,False
"0,3,2,1","0,3,1,2",60.0,1.0,30.0,-4.0,0.3697904068995491,False
"0,3,2,1","0,3,2,1",-30.0,1.0,-60.0,-4.0,0.9130278160414966,False
"0,3,2,1","1,0,2,3",60.0,1.0,30.0,-4.0,0.3665813584973749,False
"0,3,2,1","1,0,3,2",-30.0,1.0,-60.0,-4.0,0.9130265103638369,False
"0,3,2,1","1,2,0,3",60.0,1.0,30.0,-4.0,0.3697904068995493,False
"0,3,2,1","1,2,3,0",30.0,1.0,0.0,-4.0,0.9130278160414966,False
"0,3,2,1","1,3,0,2",53.0,1.0,23.0,-4.0,0.8094785931204773,False
"0,3,2,1","1,3,2,0",-53.0,1.0,-83.0,-4.0,0.8048393826823517,False
"0,3,2,1","2,0,1,3",53.0,1.0,23.0,-4.0,0.8048393826823517,False
"0,3,2,1","2,0,3,1",-53.0,1.0,-83.0,-4.0,0.8094785931204777,False
"0,3,2,1","2,1,0,3",-30.0,1.0,-60.0,-4.0,0.9130278160414966,False
"0,3,2,1","2,1,3,0",-60.0,1.0,-90.0,-4.0,0.3697904068995491,False
"0,3,2,1","2,3,0,1",30.0,1.0,0.0,-4.0,0.9130265103638366,False
"0,3,2,1","2,3,1,0",-60.0,1.0,-90.0,-4.0,0.3665813584973749,False
"0,3,2,1","3,0,1,2",30.0,1.0,0.0,-4.0,0.9130278160414964,False
"0,3,2,1","3,0,2,1",-60.0,1.0,-90.0,-4.0,0.3697904068995493,False
"0,3,2,1","3,1,0,2",-53.0,1.0,-83.0,-4.0,0.8048393826823519,False
