antenna_a,antenna_b,dx_mm,dy_mm,dz_mm,distance_mm
RX1,RX2,1.900001280000005,0.0,0.0,1.900001280000005
RX1,RX3,3.800000020000006,0.0,0.0,3.800000020000006
RX1,RX4,5.700001300000018,0.0,0.0,5.700001300000018
RX1,TX1,12.479630940555587,7.73503678993773e-18,0.12632273722223886,12.480270263356145
RX1,TX2,16.397631740555575,1.996984274548704e-16,3.261322817222208,16.718808367135797
RX1,TX3,20.31663076055556,7.73503678993773e-18,0.12632273722223886,20.31702347527048
RX1,TX4,28.15363058055558,7.73503678993773e-18,0.12632273722223886,28.153913978350037
RX2,RX3,1.899998740000001,0.0,0.0,1.899998740000001
RX2,RX4,3.800000020000013,0.0,0.0,3.800000020000013
RX2,TX1,10.579629660555582,7.73503678993773e-18,0.12632273722223886,10.580383792114857
RX2,TX2,14.49763046055557,1.996984274548704e-16,3.261322817222208,14.859929861508865
RX2,TX3,18.416629480555557,7.73503678993773e-18,0.12632273722223886,18.41706270983534
RX2,TX4,26.253629300555573,7.73503678993773e-18,0.12632273722223886,26.25393320790105
RX3,RX4,1.9000012800000121,0.0,0.0,1.9000012800000121
RX3,TX1,8.679630920555581,7.73503678993773e-18,0.12632273722223886,8.680550117993896
RX3,TX2,12.597631720555569,1.996984274548704e-16,3.261322817222208,13.012937849881636
RX3,TX3,16.516630740555556,7.73503678993773e-18,0.12632273722223886,16.517113805196235
RX3,TX4,24.353630560555573,7.73503678993773e-18,0.12632273722223886,24.353958177552283
RX4,TX1,6.779629640555569,7.73503678993773e-18,0.12632273722223886,6.78080640462762
RX4,TX2,10.697630440555557,1.996984274548704e-16,3.261322817222208,11.18371689380749
RX4,TX3,14.616629460555544,7.73503678993773e-18,0.12632273722223886,14.617175316083458
RX4,TX4,22.45362928055556,7.73503678993773e-18,0.12632273722223886,22.453984619718643
TX1,TX2,3.9180007999999873,1.9196339066493268e-16,3.135000079999969,5.017863665983797
TX1,TX3,7.836999819999974,0.0,0.0,7.836999819999974
TX1,TX4,15.673999639999991,0.0,0.0,15.673999639999991
TX2,TX3,3.918999019999987,-1.9196339066493268e-16,-3.135000079999969,5.0186431254235115
TX2,TX4,11.755998840000004,-1.9196339066493268e-16,-3.135000079999969,12.166829259411887
TX3,TX4,7.836999820000017,0.0,0.0,7.836999820000017
