roll_offset_deg,pitch_offset_deg,yaw_offset_deg,antenna,displacement_from_nominal_mm
-2.0,-2.0,-5.0,RX1,3.762994362909284
-2.0,-2.0,-5.0,RX2,3.8740751723297153
-2.0,-2.0,-5.0,RX3,3.9900502095408594
-2.0,-2.0,-5.0,RX4,4.110505530368292
-2.0,-2.0,-5.0,TX1,4.571053610354807
-2.0,-2.0,-5.0,TX2,4.842808408382855
-2.0,-2.0,-5.0,TX3,5.150146913637015
-2.0,-2.0,-5.0,TX4,5.76519286177855
-2.0,-2.0,0.0,RX1,4.522056552804937
-2.0,-2.0,0.0,RX2,4.549667510462672
-2.0,-2.0,0.0,RX3,4.5780726907684155
-2.0,-2.0,0.0,RX4,4.607257479085175
-2.0,-2.0,0.0,TX1,4.722939851289806
-2.0,-2.0,0.0,TX2,4.92383184533391
-2.0,-2.0,0.0,TX3,4.861510146533265
-2.0,-2.0,0.0,TX4,5.011193380319523
-2.0,-2.0,5.0,RX1,8.347573903099413
-2.0,-2.0,5.0,RX2,8.512463127667743
-2.0,-2.0,5.0,RX3,8.67788999226976
-2.0,-2.0,5.0,RX4,8.843824756579538
-2.0,-2.0,5.0,TX1,9.444966198332185
-2.0,-2.0,5.0,TX2,9.922877791236138
-2.0,-2.0,5.0,TX3,10.139856473145661
-2.0,-2.0,5.0,TX4,10.840200435531655
-2.0,0.0,-5.0,RX1,1.855706883987786
-2.0,0.0,-5.0,RX2,2.0210453060473474
-2.0,0.0,-5.0,RX3,2.1864464057995914
-2.0,0.0,-5.0,RX4,2.35189735511035
-2.0,0.0,-5.0,TX1,2.938151227565007
-2.0,0.0,-5.0,TX2,3.1706385642425325
-2.0,0.0,-5.0,TX3,3.6212362307506054
-2.0,0.0,-5.0,TX4,4.304513420827947
-2.0,0.0,0.0,RX1,2.9167379555255355
-2.0,0.0,0.0,RX2,2.9167379555255355
-2.0,0.0,0.0,RX3,2.9167379555255355
-2.0,0.0,0.0,RX4,2.9167379555255355
-2.0,0.0,0.0,TX1,2.921147227030081
-2.0,0.0,0.0,TX2,3.0305738181842328
-2.0,0.0,0.0,TX3,2.921147227030081
-2.0,0.0,0.0,TX4,2.921147227030081
-2.0,0.0,5.0,RX1,7.678900411627887
-2.0,0.0,5.0,RX2,7.84462836520236
-2.0,0.0,5.0,RX3,8.010357166113916
-2.0,0.0,5.0,RX4,8.176087192470236
-2.0,0.0,5.0,TX1,8.771863428881096
-2.0,0.0,5.0,TX2,9.222996220565513
-2.0,0.0,5.0,TX3,9.45547608017967
-2.0,0.0,5.0,TX4,10.139099197615444
-2.0,2.0,-5.0,RX1,4.119569820575608
-2.0,2.0,-5.0,RX2,4.232845111912795
-2.0,2.0,-5.0,RX3,4.350495398662275
-2.0,2.0,-5.0,RX4,4.472175714748377
-2.0,2.0,-5.0,TX1,4.934854499959101
-2.0,2.0,-5.0,TX2,5.220164952017732
-2.0,2.0,-5.0,TX3,5.512371547760568
-2.0,2.0,-5.0,TX4,6.124021930357873
-2.0,2.0,0.0,RX1,4.564763324058382
-2.0,2.0,0.0,RX2,4.593587357451853
-2.0,2.0,0.0,RX3,4.623183050190784
-2.0,2.0,0.0,RX4,4.6535357577950895
-2.0,2.0,0.0,TX1,4.773220287069151
-2.0,2.0,0.0,TX2,4.976786675010164
-2.0,2.0,0.0,TX3,4.916047878203863
-2.0,2.0,0.0,TX4,5.0696232302671795
-2.0,2.0,5.0,RX1,8.514265617128503
-2.0,2.0,5.0,RX2,8.681621265667228
-2.0,2.0,5.0,RX3,8.849411520381468
-2.0,2.0,5.0,RX4,9.017612557295083
-2.0,2.0,5.0,TX1,9.626299616917525
-2.0,2.0,5.0,TX2,10.112409826830497
-2.0,2.0,5.0,TX3,10.32854859815789
-2.0,2.0,5.0,TX4,11.035222759532424
0.0,-2.0,-5.0,RX1,5.797600924858874
0.0,-2.0,-5.0,RX2,5.952569760396386
0.0,-2.0,-5.0,RX3,6.108821988639437
0.0,-2.0,-5.0,RX4,6.266262006356146
0.0,-2.0,-5.0,TX1,6.838192954652244
0.0,-2.0,-5.0,TX2,7.21391093156793
0.0,-2.0,-5.0,TX3,7.510529715935856
0.0,-2.0,-5.0,TX4,8.19385035993493
0.0,-2.0,0.0,RX1,3.4843725387145827
0.0,-2.0,0.0,RX2,3.5210909937094157
0.0,-2.0,0.0,RX3,3.5586665608899732
0.0,-2.0,0.0,RX4,3.5970724786502295
0.0,-2.0,0.0,TX1,3.7439275348965033
0.0,-2.0,0.0,TX2,3.9150325710138403
0.0,-2.0,0.0,TX3,3.920841852903613
0.0,-2.0,0.0,TX4,4.108365418091813
0.0,-2.0,5.0,RX1,5.797600924858874
0.0,-2.0,5.0,RX2,5.952569760396386
0.0,-2.0,5.0,RX3,6.108821988639437
