latency_correction_s,frame,reference_latency_s,roll_difference_deg,pitch_difference_deg,yaw_difference_deg
-0.01,25,0.005,0.23999999999999488,0.15000000000000002,0.30000000000000004
-0.01,26,0.005,0.2400000000000091,0.15000000000000005,0.3000000000000001
-0.01,27,0.005,0.21999999999999886,0.1499999999999999,0.2999999999999998
-0.01,28,0.005,0.20999999999999375,0.15000000000000002,0.30000000000000004
-0.01,29,0.005,0.21000000000000796,0.15000000000000002,0.30000000000000004
-0.005,25,0.005,0.1599999999999966,0.09999999999999999,0.19999999999999998
-0.005,26,0.005,0.1600000000000108,0.1,0.2
-0.005,27,0.005,0.14999999999999147,0.09999999999999987,0.19999999999999973
-0.005,28,0.005,0.14000000000000057,0.09999999999999998,0.19999999999999996
-0.005,29,0.005,0.14000000000001478,0.10000000000000009,0.20000000000000018
0.0,25,0.005,0.0799999999999983,0.05,0.1
0.0,26,0.005,0.0800000000000125,0.05000000000000002,0.10000000000000003
0.0,27,0.005,0.0799999999999983,0.04999999999999993,0.09999999999999987
0.0,28,0.005,0.06999999999999318,0.050000000000000044,0.10000000000000009
0.0,29,0.005,0.07000000000000739,0.050000000000000044,0.10000000000000009
0.005,25,0.005,0.0,0.0,0.0
0.005,26,0.005,0.0,0.0,0.0
0.005,27,0.005,0.0,0.0,0.0
0.005,28,0.005,0.0,0.0,0.0
0.005,29,0.005,0.0,0.0,0.0
0.01,25,0.005,-0.0799999999999983,-0.05,-0.1
0.01,26,0.005,-0.0799999999999983,-0.05000000000000002,-0.10000000000000003
0.01,27,0.005,-0.0799999999999983,-0.050000000000000044,-0.10000000000000009
0.01,28,0.005,-0.07000000000000739,-0.050000000000000044,-0.10000000000000009
0.01,29,0.005,-0.06999999999999318,-0.04999999999999993,-0.09999999999999987
