case_id,rank,frame,doppler_index,range_index,range_m,velocity_mps,cell_power_linear,scenario_id,pfa,training_doppler,training_range,guard_doppler,guard_range,valid_for_cfar,noise_linear,threshold_linear,power_to_threshold_db,local_max,above_threshold,local_maximum,would_detect
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e4_train2,0.0001,2,2,1,1,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e2_train4,0.01,4,4,1,1,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e3_train4,0.001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e4_train4,0.0001,4,4,1,1,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e2_train8,0.01,8,8,2,2,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e3_train8,0.001,8,8,2,2,False,,,,,False,False,False
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125,pfa1e4_train8,0.0001,8,8,2,2,False,,,,,False,False,False
ss2_normal,1,13,32,2,3.5131928671875,0.0,1373138.25,pfa1e2_train2,0.01,2,2,1,1,False,,,,,False,False,False
ss2_normal,1,13,32,2,3.5131928671875,0.0,1373138.25,pfa1e3_train2,0.001,2,2,1,1,False,,,,,False,False,False
