virtual_channel,tx,rx,x_mm,y_mm,x_lambda,y_lambda,coordinate_status,source
0,TX1,RX1,0.000000,0.000000,0.000000,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
1,TX1,RX2,1.900001,0.000000,0.488005,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
2,TX1,RX3,3.800000,0.000000,0.976009,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
3,TX1,RX4,5.700001,0.000000,1.464013,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
4,TX2,RX1,3.918001,3.135000,1.006316,0.805207,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
5,TX2,RX2,5.818002,3.135000,1.494321,0.805207,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
6,TX2,RX3,7.718001,3.135000,1.982325,0.805207,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
7,TX2,RX4,9.618002,3.135000,2.470330,0.805207,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
8,TX3,RX1,7.837000,0.000000,2.012889,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
9,TX3,RX2,9.737001,0.000000,2.500894,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
10,TX3,RX3,11.637000,0.000000,2.988898,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
11,TX3,RX4,13.537001,0.000000,3.476902,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
12,TX4,RX1,15.674000,0.000000,4.025778,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
13,TX4,RX2,17.574001,0.000000,4.513783,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
14,TX4,RX3,19.474000,0.000000,5.001787,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
15,TX4,RX4,21.374001,0.000000,5.489791,0.000000,cad_copper_centroid_sum_approximation_not_phase_center,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_73_new_pcb_package\pcb_antenna_regions.csv
