model,azimuth_deg,elevation_deg,power_linear
ideal_v04,-60.0,-20.0,0.009671537256006973
ideal_v04,-60.0,-19.0,0.011543399396503683
ideal_v04,-60.0,-18.0,0.013491783319913483
ideal_v04,-60.0,-17.0,0.015486742541723515
ideal_v04,-60.0,-16.0,0.017498650074324114
ideal_v04,-60.0,-15.0,0.019499045159038154
ideal_v04,-60.0,-14.0,0.021461335828177372
ideal_v04,-60.0,-13.0,0.023361339481138887
ideal_v04,-60.0,-12.0,0.02517765430085026
ideal_v04,-60.0,-11.0,0.026891864158757932
ideal_v04,-60.0,-10.0,0.02848858816438488
ideal_v04,-60.0,-9.0,0.02995539287510029
ideal_v04,-60.0,-8.0,0.03128259022100284
ideal_v04,-60.0,-7.0,0.03246294739688041
ideal_v04,-60.0,-6.0,0.033491336433389855
ideal_v04,-60.0,-5.0,0.03436435108413879
ideal_v04,-60.0,-4.0,0.03507991731628231
ideal_v04,-60.0,-3.0,0.0356369213569272
ideal_v04,-60.0,-2.0,0.03603487620677089
ideal_v04,-60.0,-1.0,0.03627364403422553
ideal_v04,-60.0,0.0,0.03635322810604234
ideal_v04,-60.0,1.0,0.03627364403422549
ideal_v04,-60.0,2.0,0.03603487620677087
ideal_v04,-60.0,3.0,0.03563692135692724
ideal_v04,-60.0,4.0,0.03507991731628228
ideal_v04,-60.0,5.0,0.03436435108413881
ideal_v04,-60.0,6.0,0.03349133643338985
ideal_v04,-60.0,7.0,0.03246294739688043
ideal_v04,-60.0,8.0,0.03128259022100277
ideal_v04,-60.0,9.0,0.02995539287510029
ideal_v04,-60.0,10.0,0.028488588164384862
ideal_v04,-60.0,11.0,0.026891864158757914
ideal_v04,-60.0,12.0,0.02517765430085018
ideal_v04,-60.0,13.0,0.02336133948113888
ideal_v04,-60.0,14.0,0.021461335828177396
ideal_v04,-60.0,15.0,0.019499045159038154
ideal_v04,-60.0,16.0,0.017498650074324093
ideal_v04,-60.0,17.0,0.015486742541723537
ideal_v04,-60.0,18.0,0.013491783319913483
ideal_v04,-60.0,19.0,0.011543399396503673
ideal_v04,-60.0,20.0,0.009671537256006987
ideal_v04,-59.0,-20.0,0.010159379030207364
ideal_v04,-59.0,-19.0,0.012173800634802733
ideal_v04,-59.0,-18.0,0.01428431384952809
ideal_v04,-59.0,-17.0,0.016459611499739287
ideal_v04,-59.0,-16.0,0.01866808921357398
ideal_v04,-59.0,-15.0,0.02087875351933849
ideal_v04,-59.0,-14.0,0.023062004243754295
ideal_v04,-59.0,-13.0,0.02519026858175604
ideal_v04,-59.0,-12.0,0.027238474619093987
ideal_v04,-59.0,-11.0,0.029184362017892453
ideal_v04,-59.0,-10.0,0.03100863648799281
ideal_v04,-59.0,-9.0,0.03269498216970293
ideal_v04,-59.0,-8.0,0.03422995190221238
ideal_v04,-59.0,-7.0,0.035602759446280774
ideal_v04,-59.0,-6.0,0.03680500009703564
ideal_v04,-59.0,-5.0,0.03783032689205588
ideal_v04,-59.0,-4.0,0.03867410899239074
ideal_v04,-59.0,-3.0,0.03933309703105279
ideal_v04,-59.0,-2.0,0.039805117536796886
ideal_v04,-59.0,-1.0,0.04008881518871801
ideal_v04,-59.0,0.0,0.040183457845671684
ideal_v04,-59.0,1.0,0.04008881518871794
ideal_v04,-59.0,2.0,0.039805117536796886
ideal_v04,-59.0,3.0,0.03933309703105281
ideal_v04,-59.0,4.0,0.03867410899239077
ideal_v04,-59.0,5.0,0.03783032689205588
ideal_v04,-59.0,6.0,0.03680500009703561
ideal_v04,-59.0,7.0,0.03560275944628077
ideal_v04,-59.0,8.0,0.03422995190221234
ideal_v04,-59.0,9.0,0.032694982169702944
ideal_v04,-59.0,10.0,0.031008636487992836
ideal_v04,-59.0,11.0,0.029184362017892394
ideal_v04,-59.0,12.0,0.02723847461909393
ideal_v04,-59.0,13.0,0.025190268581756024
ideal_v04,-59.0,14.0,0.023062004243754288
ideal_v04,-59.0,15.0,0.020878753519338513
ideal_v04,-59.0,16.0,0.018668089213574032
ideal_v04,-59.0,17.0,0.016459611499739294
ideal_v04,-59.0,18.0,0.014284313849528087
ideal_v04,-59.0,19.0,0.012173800634802747
ideal_v04,-59.0,20.0,0.010159379030207359
ideal_v04,-58.0,-20.0,0.010622551198327758
ideal_v04,-58.0,-19.0,0.01277782042190488
