assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score
ideal_v04,-40.0,-10.0,-41.0,-20.0,-1.0,-10.0,0.316364369524901
pcb_candidate,-40.0,-10.0,-40.0,-10.0,0.0,0.0,0.9999999999999998
ideal_v04,-20.0,-10.0,-20.0,20.0,0.0,30.0,0.3962977973826782
pcb_candidate,-20.0,-10.0,-20.0,-10.0,0.0,0.0,1.0
ideal_v04,0.0,-10.0,0.0,2.0,0.0,12.0,0.8719738251833883
pcb_candidate,0.0,-10.0,0.0,-10.0,0.0,0.0,1.0
ideal_v04,20.0,-10.0,20.0,15.0,0.0,25.0,0.2842720047460994
pcb_candidate,20.0,-10.0,20.0,-10.0,0.0,0.0,1.0
ideal_v04,40.0,-10.0,41.0,18.0,1.0,28.0,0.4061098347429867
pcb_candidate,40.0,-10.0,40.0,-10.0,0.0,0.0,1.0
ideal_v04,-40.0,0.0,-41.0,17.0,-1.0,17.0,0.23000417233096593
pcb_candidate,-40.0,0.0,-40.0,0.0,0.0,0.0,1.0
ideal_v04,-20.0,0.0,-20.0,-16.0,0.0,-16.0,0.21939514429050036
pcb_candidate,-20.0,0.0,-20.0,0.0,0.0,0.0,0.9999999999999996
ideal_v04,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pcb_candidate,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ideal_v04,20.0,0.0,20.0,16.0,0.0,16.0,0.21939514429050466
pcb_candidate,20.0,0.0,20.0,0.0,0.0,0.0,1.0
ideal_v04,40.0,0.0,41.0,-17.0,1.0,-17.0,0.23000417233096737
pcb_candidate,40.0,0.0,40.0,0.0,0.0,0.0,1.0
ideal_v04,-40.0,10.0,-41.0,-18.0,-1.0,-28.0,0.40610983474298357
pcb_candidate,-40.0,10.0,-40.0,10.0,0.0,0.0,1.0000000000000004
ideal_v04,-20.0,10.0,-20.0,-15.0,0.0,-25.0,0.2842720047460989
pcb_candidate,-20.0,10.0,-20.0,10.0,0.0,0.0,1.0
ideal_v04,0.0,10.0,0.0,-2.0,0.0,-12.0,0.8719738251833878
pcb_candidate,0.0,10.0,0.0,10.0,0.0,0.0,1.0
ideal_v04,20.0,10.0,20.0,-20.0,0.0,-30.0,0.39629779738268167
pcb_candidate,20.0,10.0,20.0,10.0,0.0,0.0,1.0
ideal_v04,40.0,10.0,41.0,20.0,1.0,10.0,0.3163643695248984
pcb_candidate,40.0,10.0,40.0,10.0,0.0,0.0,0.9999999999999996
