transform,case_id,frames,azimuth_rmse_to_dominant_deg,elevation_rmse_to_dominant_deg,combined_rmse_to_dominant_deg,jump_rate_over_5deg,mean_angle_jump_deg
identity,ss0_flat,41,33.66161458610312,4.310066950747411,23.99667657888562,0.925,54.33335810820714
identity,ss1_rippled,41,49.48662266147112,4.2225156478279935,35.11947793486529,0.85,42.33448445922284
identity,ss2_normal,41,37.66372369468902,4.685434281945643,26.837561150003094,0.9,54.227576684533325
identity,ss3_nominal,41,56.0676836380595,4.217940021317385,39.757868193358625,0.925,50.97361617644872
identity,ss3_upper,41,45.72717452341837,4.131397709939417,32.465696796256005,0.825,47.415943395336456
mirror_x,ss0_flat,41,23.014327020327418,4.340650789920804,16.56050267169769,0.925,53.2044527952754
mirror_x,ss1_rippled,41,52.87216510353856,4.574901967400557,37.5259614849984,0.875,45.90833684755827
mirror_x,ss2_normal,41,43.35811775256777,4.621473882046544,30.832486081144765,0.85,53.40582037072231
mirror_x,ss3_nominal,41,58.70194126284773,4.403251935420399,41.625151865390286,0.925,54.25892317272371
mirror_x,ss3_upper,41,46.69874156114358,4.442989546883719,33.17011169342211,0.8,54.983734424105066
mirror_y,ss0_flat,41,33.43446258811866,4.239238247961334,23.831013716156566,0.925,55.07056809141682
mirror_y,ss1_rippled,41,46.220536787729856,4.321322519922875,32.825385369155086,0.9,47.84057963468983
mirror_y,ss2_normal,41,44.13477582484294,4.458034324110813,31.36680177467964,0.875,58.10162148010927
mirror_y,ss3_nominal,41,60.724431264675694,4.545372777305265,43.05877939574571,0.9,53.50171354395818
mirror_y,ss3_upper,41,48.32008869644766,4.645337950363344,34.32499188860541,0.85,49.87445692020877
rotate_180,ss0_flat,41,30.461887694719916,4.543377927456474,21.77807251477306,0.925,56.15030694688303
rotate_180,ss1_rippled,41,48.569331540797386,4.177498207321713,34.470505200766006,0.875,46.734536686639544
rotate_180,ss2_normal,41,34.860967745969255,4.450206471337935,24.850466895242096,0.875,51.647756856010425
rotate_180,ss3_nominal,41,61.71674474695606,4.361662901871934,43.749175337544905,0.9,48.63687773291103
rotate_180,ss3_upper,41,48.26069867090498,4.288143297496759,34.25991250093727,0.775,52.96466790168061
