case_id,sequence,azimuth_deg,elevation_deg,range_m,radial_velocity_mps,target_type,required_files,status
ka001_az-30_el-10_r10,1,-30,-10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka002_az-15_el-10_r10,2,-15,-10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka003_az+00_el-10_r10,3,0,-10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka004_az+15_el-10_r10,4,15,-10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka005_az+30_el-10_r10,5,30,-10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka006_az-30_el+00_r10,6,-30,0,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka007_az-15_el+00_r10,7,-15,0,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka008_az+00_el+00_r10,8,0,0,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka009_az+15_el+00_r10,9,15,0,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka010_az+30_el+00_r10,10,30,0,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka011_az-30_el+10_r10,11,-30,10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka012_az-15_el+10_r10,12,-15,10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka013_az+00_el+10_r10,13,0,10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka014_az+15_el+10_r10,14,15,10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka015_az+30_el+10_r10,15,30,10,10,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka016_az-30_el-10_r20,16,-30,-10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka017_az-15_el-10_r20,17,-15,-10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka018_az+00_el-10_r20,18,0,-10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka019_az+15_el-10_r20,19,15,-10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka020_az+30_el-10_r20,20,30,-10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka021_az-30_el+00_r20,21,-30,0,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka022_az-15_el+00_r20,22,-15,0,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka023_az+00_el+00_r20,23,0,0,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka024_az+15_el+00_r20,24,15,0,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka025_az+30_el+00_r20,25,30,0,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka026_az-30_el+10_r20,26,-30,10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka027_az-15_el+10_r20,27,-15,10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka028_az+00_el+10_r20,28,0,10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka029_az+15_el+10_r20,29,15,10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
ka030_az+30_el+10_r20,30,30,10,20,0.0,corner_reflector,"manifest.json,capture.bin,profile.cfg",planned
