case_id,manifest,capture_found,cfg_found,status
ka001_az-30_el-10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka001_az-30_el-10_r10\manifest.json,False,False,planned_awaiting_capture
ka002_az-15_el-10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka002_az-15_el-10_r10\manifest.json,False,False,planned_awaiting_capture
ka003_az+00_el-10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka003_az+00_el-10_r10\manifest.json,False,False,planned_awaiting_capture
ka004_az+15_el-10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka004_az+15_el-10_r10\manifest.json,False,False,planned_awaiting_capture
ka005_az+30_el-10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka005_az+30_el-10_r10\manifest.json,False,False,planned_awaiting_capture
ka006_az-30_el+00_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka006_az-30_el+00_r10\manifest.json,False,False,planned_awaiting_capture
ka007_az-15_el+00_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka007_az-15_el+00_r10\manifest.json,False,False,planned_awaiting_capture
ka008_az+00_el+00_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka008_az+00_el+00_r10\manifest.json,False,False,planned_awaiting_capture
ka009_az+15_el+00_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka009_az+15_el+00_r10\manifest.json,False,False,planned_awaiting_capture
ka010_az+30_el+00_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka010_az+30_el+00_r10\manifest.json,False,False,planned_awaiting_capture
ka011_az-30_el+10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka011_az-30_el+10_r10\manifest.json,False,False,planned_awaiting_capture
ka012_az-15_el+10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka012_az-15_el+10_r10\manifest.json,False,False,planned_awaiting_capture
ka013_az+00_el+10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka013_az+00_el+10_r10\manifest.json,False,False,planned_awaiting_capture
ka014_az+15_el+10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka014_az+15_el+10_r10\manifest.json,False,False,planned_awaiting_capture
ka015_az+30_el+10_r10,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka015_az+30_el+10_r10\manifest.json,False,False,planned_awaiting_capture
ka016_az-30_el-10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka016_az-30_el-10_r20\manifest.json,False,False,planned_awaiting_capture
ka017_az-15_el-10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka017_az-15_el-10_r20\manifest.json,False,False,planned_awaiting_capture
ka018_az+00_el-10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka018_az+00_el-10_r20\manifest.json,False,False,planned_awaiting_capture
ka019_az+15_el-10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka019_az+15_el-10_r20\manifest.json,False,False,planned_awaiting_capture
ka020_az+30_el-10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka020_az+30_el-10_r20\manifest.json,False,False,planned_awaiting_capture
ka021_az-30_el+00_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka021_az-30_el+00_r20\manifest.json,False,False,planned_awaiting_capture
ka022_az-15_el+00_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka022_az-15_el+00_r20\manifest.json,False,False,planned_awaiting_capture
ka023_az+00_el+00_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka023_az+00_el+00_r20\manifest.json,False,False,planned_awaiting_capture
ka024_az+15_el+00_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka024_az+15_el+00_r20\manifest.json,False,False,planned_awaiting_capture
ka025_az+30_el+00_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka025_az+30_el+00_r20\manifest.json,False,False,planned_awaiting_capture
ka026_az-30_el+10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka026_az-30_el+10_r20\manifest.json,False,False,planned_awaiting_capture
ka027_az-15_el+10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka027_az-15_el+10_r20\manifest.json,False,False,planned_awaiting_capture
ka028_az+00_el+10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka028_az+00_el+10_r20\manifest.json,False,False,planned_awaiting_capture
ka029_az+15_el+10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka029_az+15_el+10_r20\manifest.json,False,False,planned_awaiting_capture
ka030_az+30_el+10_r20,D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_95_capture_scaffold\ka030_az+30_el+10_r20\manifest.json,False,False,planned_awaiting_capture
