path,suffix,size_bytes,provenance,attrs
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_33_known_angle_fixture\known_angle_az015_el008.h5,.h5,81904,synthetic_or_replay,"{""calibration_status"": ""synthetic_unity_not_measured"", ""channel_order_verified"": ""True"", ""schema_version"": ""awr2944p-known-angle-fixture-v0.4.33"", ""source_type"": ""synthetic_known_angle_regression_only"", ""truth_azimuth_deg"": ""15.0"", ""truth_elevation_deg"": ""8.0"", ""truth_range_m"": ""30.0"", ""truth_velocity_mps"": ""0.0"", ""tx_sequence"": ""TX1,TX2,TX3,TX4""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_33_known_angle_fixture\known_angle_cfg_geometry.h5,.h5,82140,synthetic_or_replay,"{""calibration_status"": ""synthetic_unity_not_measured"", ""channel_order_verified"": ""True"", ""geometry_source"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\antgeometry_mapping.csv"", ""schema_version"": ""awr2944p-known-angle-fixture-v0.4.33"", ""source_type"": ""synthetic_known_angle_regression_only"", ""truth_azimuth_deg"": ""15.0"", ""truth_elevation_deg"": ""8.0"", ""truth_range_m"": ""30.0"", ""truth_velocity_mps"": ""0.0"", ""tx_sequence"": ""TX1,TX2,TX3,TX4""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_33_known_angle_fixture\known_angle_cfg_geometry_low.h5,.h5,82088,synthetic_or_replay,"{""calibration_status"": ""synthetic_unity_not_measured"", ""channel_order_verified"": ""True"", ""geometry_source"": ""D:\\hp-laptop\\USV\\awr2944_sea_clutter_v02\\simulation\\hardware\\awr2944pev\\antgeometry_mapping.csv"", ""schema_version"": ""awr2944p-known-angle-fixture-v0.4.33"", ""source_type"": ""synthetic_known_angle_regression_only"", ""truth_azimuth_deg"": ""5.0"", ""truth_elevation_deg"": ""2.0"", ""truth_range_m"": ""30.0"", ""truth_velocity_mps"": ""0.0"", ""tx_sequence"": ""TX1,TX2,TX3,TX4""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_33_known_angle_fixture\range_doppler_aoa.h5,.h5,73953,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""input_dataset"": ""/recovered/virtual_iq"", ""schema_version"": ""awr2944p-range-doppler-aoa-v0.4.22""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_33_known_angle_fixture\range_doppler_cfg_geometry.h5,.h5,73932,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""input_dataset"": ""/recovered/virtual_iq"", ""schema_version"": ""awr2944p-range-doppler-aoa-v0.4.22""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_33_known_angle_fixture\range_doppler_cfg_geometry_low.h5,.h5,73983,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""input_dataset"": ""/recovered/virtual_iq"", ""schema_version"": ""awr2944p-range-doppler-aoa-v0.4.22""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_43_sea_range_doppler\ss0_flat_range_doppler.h5,.h5,2273554,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""input_status"": ""v02_height_truth_derived_microfacets"", ""schema_version"": ""awr2944p-synthetic-sea-range-doppler-v0.4.43""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_43_sea_range_doppler\ss1_rippled_range_doppler.h5,.h5,21159276,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""input_status"": ""v02_height_truth_derived_microfacets"", ""schema_version"": ""awr2944p-synthetic-sea-range-doppler-v0.4.43""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_43_sea_range_doppler\ss2_normal_range_doppler.h5,.h5,21202833,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""input_status"": ""v02_height_truth_derived_microfacets"", ""schema_version"": ""awr2944p-synthetic-sea-range-doppler-v0.4.43""}"
D:\hp-laptop\USV\awr2944_sea_clutter_v02\simulation\hardware\awr2944pev\v04_43_sea_range_doppler\ss3_nominal_range_doppler.h5,.h5,21213727,synthetic_or_replay,"{""channel_order_verified"": ""False"", ""input_status"": ""v02_height_truth_derived_microfacets"", ""schema_version"": ""awr2944p-synthetic-sea-range-doppler-v0.4.43""}"
