virtual_channel,tx_index,rx_index,x_lambda,y_lambda,z_lambda,coordinate_status,source
0,0,0,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
1,0,1,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
2,0,2,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
3,0,3,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
4,1,0,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
5,1,1,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
6,1,2,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
7,1,3,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
8,2,0,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
9,2,1,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
10,2,2,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
11,2,3,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
12,3,0,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
13,3,1,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
14,3,2,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
15,3,3,,,0,diagram_derived_pending_cad_or_measurement,TI EVM User Guide Figure 2-18
