virtual_input_index,tx,rx,row,column,pcb_x_mm,pcb_y_mm,cfg_x_mm,cfg_y_mm,delta_x_mm,delta_y_mm,coordinate_status
0,TX1,RX1,1,0,0.0,0.0,0.0,3.1147268363636367,0.0,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
1,TX1,RX2,1,1,1.900001,0.0,1.9467042727272728,3.1147268363636367,-0.046703272727272704,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
2,TX1,RX3,1,2,3.8,0.0,3.8934085454545455,3.1147268363636367,-0.09340854545454569,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
3,TX1,RX4,1,3,5.700001,0.0,5.840112818181819,3.1147268363636367,-0.1401118181818184,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
4,TX2,RX1,0,2,3.918001,3.135,3.8934085454545455,0.0,0.024592454545454334,3.135,pcb_centroid_vs_cfg_ideal_raw_comparison
5,TX2,RX2,0,3,5.818002,3.135,5.840112818181819,0.0,-0.022110818181818814,3.135,pcb_centroid_vs_cfg_ideal_raw_comparison
6,TX2,RX3,0,4,7.718001,3.135,7.786817090909091,0.0,-0.06881609090909091,3.135,pcb_centroid_vs_cfg_ideal_raw_comparison
7,TX2,RX4,0,5,9.618002,3.135,9.733521363636363,0.0,-0.11551936363636273,3.135,pcb_centroid_vs_cfg_ideal_raw_comparison
8,TX3,RX1,1,4,7.837,0.0,7.786817090909091,3.1147268363636367,0.05018290909090872,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
9,TX3,RX2,1,5,9.737001,0.0,9.733521363636363,3.1147268363636367,0.0034796363636360184,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
10,TX3,RX3,1,6,11.637,0.0,11.680225636363637,3.1147268363636367,-0.043225636363636966,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
11,TX3,RX4,1,7,13.537001,0.0,13.62692990909091,3.1147268363636367,-0.08992890909090967,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
12,TX4,RX1,1,8,15.674,0.0,15.573634181818182,3.1147268363636367,0.10036581818181745,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
13,TX4,RX2,1,9,17.574001,0.0,17.520338454545456,3.1147268363636367,0.053662545454542965,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
14,TX4,RX3,1,10,19.474,0.0,19.467042727272727,3.1147268363636367,0.0069572727272735335,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
15,TX4,RX4,1,11,21.374001,0.0,21.413747,3.1147268363636367,-0.03974600000000095,-3.1147268363636367,pcb_centroid_vs_cfg_ideal_raw_comparison
